anchor_date,actual_trading_date,sector,symbol,provider,kind,open,high,low,close,volume,source,status,comment
2026-02-28,2026-02-27,Banks,JPM,fmp,sector_company,300,302.95,294.45,300.3,18620800,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Banks,JPM,fmp,sector_company,289.29,292.75,287.18,288.73,8344900,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Banks,JPM,fmp,sector_company,288.08,290.71,285.27,286.56,22436500,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Banks,JPM,fmp,sector_company,284.74,287.25,282.33,283.77,11734400,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Banks,JPM,fmp,sector_company,310,310.35,306.72,309.87,6069700,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Banks,JPM,fmp,sector_company,310.85,317.13,310.37,316.99,10772003,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Banks,JPM,fmp,sector_company,307.07,314.1,306.57,313.23,8865400,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Banks,JPM,fmp,sector_company,308.25,308.99,300.5,302.1,9464300,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Banks,JPM,fmp,sector_company,296.7,302.93,293.67,301.98,9327002,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Banks,JPM,fmp,sector_company,296.4,299.88,295.2,299.31,13973665,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Banks,BAC,fmp,sector_company,51.08,51.41,49.32,49.83,77728700,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Banks,BAC,fmp,sector_company,48.28,49.15,47.6,48.56,50271136,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Banks,BAC,fmp,sector_company,47.13,47.46,46.69,47.16,78060900,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Banks,BAC,fmp,sector_company,47.55,47.86,46.93,47.23,43375900,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Banks,BAC,fmp,sector_company,52.8,52.83,52.2,52.54,25225326,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Banks,BAC,fmp,sector_company,53.5,53.95,53.18,53.95,43999200,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Banks,BAC,fmp,sector_company,52.61,53.66,52.15,53.46,27089208,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Banks,BAC,fmp,sector_company,52.98,53.01,51.1,51.31,36111200,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Banks,BAC,fmp,sector_company,50.99,51.58,50.49,51.23,47739417,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Banks,BAC,fmp,sector_company,50.97,51.8,50.61,51.6,57930560,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Banks,C,fmp,sector_company,113.18,113.18,108.66,110.19,29106908,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Banks,C,fmp,sector_company,108.41,110.91,107.37,108.97,17844260,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Banks,C,fmp,sector_company,109.6,111.21,108.86,109.52,29718409,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Banks,C,fmp,sector_company,108.46,109.42,106.52,107.27,20319344,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Banks,C,fmp,sector_company,125.24,125.47,123.61,124.39,8958046,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Banks,C,fmp,sector_company,131.98,133.44,131.65,133.05,10151800,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Banks,C,fmp,sector_company,127.7,128.92,126.55,127.98,12127700,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Banks,C,fmp,sector_company,130.19,131.95,125.22,125.55,17505537,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Banks,C,fmp,sector_company,120.97,125.28,119.89,124.82,11182000,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Banks,C,fmp,sector_company,124.65,126.85,123.52,125.9,17326741,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Banks,GS,fmp,sector_company,912,916.25,854.15,859.57,5552300,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Banks,GS,fmp,sector_company,834.68,846.09,826.35,833.81,1871901,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Banks,GS,fmp,sector_company,807,827.23,804.93,813.53,3918407,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Banks,GS,fmp,sector_company,811.12,818.63,801.88,807.6,1621403,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Banks,GS,fmp,sector_company,903.37,908.96,895,907.8,1642709,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Banks,GS,fmp,sector_company,923.68,941.8,922.99,941.74,2374300,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Banks,GS,fmp,sector_company,910.41,928,905,923.77,1880306,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Banks,GS,fmp,sector_company,936,939.78,927.46,936.48,1665037,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Banks,GS,fmp,sector_company,945,982.73,940.5,982.12,3104417,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Banks,GS,fmp,sector_company,1009.27,1027.22,1004,1025.56,2158796,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-03-10,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-03-20,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-03-30,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-04-10,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-04-20,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-04-30,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-05-10,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-05-20,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-05-30,,Banks,MS,fmp,sector_company,,,,,,Financial Modeling Prep stable historical-price-eod/full,provider_error,HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; Yahoo fallback error: HTTP Error 429: Too Many Requests
2026-02-28,2026-02-27,Semiconductors,NVDA,fmp,sector_company,181.25,182.59,176.38,177.19,311636500,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Semiconductors,NVDA,fmp,sector_company,182.4,186.44,182.01,184.77,179118528,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Semiconductors,NVDA,fmp,sector_company,178,178.26,171.72,172.7,241323529,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Semiconductors,NVDA,fmp,sector_company,168.78,169.45,164.27,165.17,185627000,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Semiconductors,NVDA,fmp,sector_company,184.31,190,184.3,188.63,160459525,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Semiconductors,NVDA,fmp,sector_company,199.98,202.17,197.84,202.06,119381400,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Semiconductors,NVDA,fmp,sector_company,209.93,210.3,198.7,199.57,225239200,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Semiconductors,NVDA,fmp,sector_company,213.03,217.8,212.89,215.2,136421400,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Semiconductors,NVDA,fmp,sector_company,223.18,226.13,220.5,223.47,184201600,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Semiconductors,NVDA,fmp,sector_company,214.58,217.86,211.13,211.14,289410623,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Semiconductors,AMD,fmp,sector_company,200.11,201.89,197.74,200.21,31312400,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Semiconductors,AMD,fmp,sector_company,202.51,206.59,202.2,203.23,29139200,Financial Modeling Prep stable historical-price-eod/full,ok,
