slug,file,type,date,n_rows
agriculture_chemicals,fyn_agriculture_chemicals_current_20240810.csv,current,2024-08-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20241010.csv,current,2024-10-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20241210.csv,current,2024-12-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250210.csv,current,2025-02-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250410.csv,current,2025-04-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250610.csv,current,2025-06-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250710.csv,current,2025-07-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250810.csv,current,2025-08-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20250910.csv,current,2025-09-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20251010.csv,current,2025-10-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20251110.csv,current,2025-11-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20251210.csv,current,2025-12-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260110.csv,current,2026-01-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260210.csv,current,2026-02-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260310.csv,current,2026-03-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260410.csv,current,2026-04-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260510.csv,current,2026-05-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260620.csv,current,2026-06-20,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260710.csv,current,2026-07-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260810.csv,current,2026-08-10,8
agriculture_chemicals,fyn_agriculture_chemicals_current_20260910.csv,current,2026-09-10,8
agriculture_chemicals,fyn_agriculture_chemicals_norm.csv,norm,2026-06-06,41
banks,fyn_banks_current_20240810.csv,current,2024-08-10,6
banks,fyn_banks_current_20241010.csv,current,2024-10-10,6
banks,fyn_banks_current_20241210.csv,current,2024-12-10,6
banks,fyn_banks_current_20250210.csv,current,2025-02-10,6
banks,fyn_banks_current_20250410.csv,current,2025-04-10,6
banks,fyn_banks_current_20250610.csv,current,2025-06-10,6
banks,fyn_banks_current_20250710.csv,current,2025-07-10,6
banks,fyn_banks_current_20250810.csv,current,2025-08-10,6
banks,fyn_banks_current_20250910.csv,current,2025-09-10,6
banks,fyn_banks_current_20251010.csv,current,2025-10-10,6
banks,fyn_banks_current_20251110.csv,current,2025-11-10,6
banks,fyn_banks_current_20251210.csv,current,2025-12-10,6
banks,fyn_banks_current_20260110.csv,current,2026-01-10,6
banks,fyn_banks_current_20260210.csv,current,2026-02-10,6
banks,fyn_banks_current_20260228.csv,current,2026-02-28,6
banks,fyn_banks_current_20260310.csv,current,2026-03-10,6
banks,fyn_banks_current_20260320.csv,current,2026-03-20,6
banks,fyn_banks_current_20260330.csv,current,2026-03-30,6
banks,fyn_banks_current_20260410.csv,current,2026-04-10,6
banks,fyn_banks_current_20260420.csv,current,2026-04-20,6
banks,fyn_banks_current_20260430.csv,current,2026-04-30,6
banks,fyn_banks_current_20260510.csv,current,2026-05-10,6
banks,fyn_banks_current_20260520.csv,current,2026-05-20,6
banks,fyn_banks_current_20260530.csv,current,2026-05-30,6
banks,fyn_banks_current_20260606.csv,current,2026-06-06,6
banks,fyn_banks_current_20260620.csv,current,2026-06-20,6
banks,fyn_banks_current_20260710.csv,current,2026-07-10,6
banks,fyn_banks_current_20260810.csv,current,2026-08-10,6
banks,fyn_banks_current_20260910.csv,current,2026-09-10,6
banks,fyn_banks_norm.csv,norm,2026-06-06,31
commodities,fyn_commodities_current_20240810.csv,current,2024-08-10,5
commodities,fyn_commodities_current_20241010.csv,current,2024-10-10,5
commodities,fyn_commodities_current_20241210.csv,current,2024-12-10,5
commodities,fyn_commodities_current_20250210.csv,current,2025-02-10,5
commodities,fyn_commodities_current_20250410.csv,current,2025-04-10,5
commodities,fyn_commodities_current_20250610.csv,current,2025-06-10,5
commodities,fyn_commodities_current_20250710.csv,current,2025-07-10,5
commodities,fyn_commodities_current_20250810.csv,current,2025-08-10,5
commodities,fyn_commodities_current_20250910.csv,current,2025-09-10,5
commodities,fyn_commodities_current_20251010.csv,current,2025-10-10,5
commodities,fyn_commodities_current_20251110.csv,current,2025-11-10,5
commodities,fyn_commodities_current_20251210.csv,current,2025-12-10,5
commodities,fyn_commodities_current_20260110.csv,current,2026-01-10,5
commodities,fyn_commodities_current_20260210.csv,current,2026-02-10,5
commodities,fyn_commodities_current_20260310.csv,current,2026-03-10,5
commodities,fyn_commodities_current_20260410.csv,current,2026-04-10,5
commodities,fyn_commodities_current_20260510.csv,current,2026-05-10,5
commodities,fyn_commodities_current_20260620.csv,current,2026-06-20,5
commodities,fyn_commodities_current_20260710.csv,current,2026-07-10,5
commodities,fyn_commodities_current_20260810.csv,current,2026-08-10,5
commodities,fyn_commodities_current_20260910.csv,current,2026-09-10,5
commodities,fyn_commodities_norm.csv,norm,2026-06-06,26
consumer_discretionary,fyn_consumer_discretionary_current_20240810.csv,current,2024-08-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20241010.csv,current,2024-10-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20241210.csv,current,2024-12-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250210.csv,current,2025-02-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250410.csv,current,2025-04-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250610.csv,current,2025-06-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250710.csv,current,2025-07-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250810.csv,current,2025-08-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20250910.csv,current,2025-09-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20251010.csv,current,2025-10-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20251110.csv,current,2025-11-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20251210.csv,current,2025-12-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260110.csv,current,2026-01-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260210.csv,current,2026-02-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260310.csv,current,2026-03-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260410.csv,current,2026-04-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260510.csv,current,2026-05-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260620.csv,current,2026-06-20,7
consumer_discretionary,fyn_consumer_discretionary_current_20260710.csv,current,2026-07-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260810.csv,current,2026-08-10,7
consumer_discretionary,fyn_consumer_discretionary_current_20260910.csv,current,2026-09-10,7
consumer_discretionary,fyn_consumer_discretionary_norm.csv,norm,2026-06-06,36
delivery_logistics,fyn_delivery_logistics_current_20240810.csv,current,2024-08-10,6
delivery_logistics,fyn_delivery_logistics_current_20241010.csv,current,2024-10-10,6
delivery_logistics,fyn_delivery_logistics_current_20241210.csv,current,2024-12-10,6
delivery_logistics,fyn_delivery_logistics_current_20250210.csv,current,2025-02-10,6
delivery_logistics,fyn_delivery_logistics_current_20250410.csv,current,2025-04-10,6
delivery_logistics,fyn_delivery_logistics_current_20250610.csv,current,2025-06-10,6
delivery_logistics,fyn_delivery_logistics_current_20250710.csv,current,2025-07-10,6
delivery_logistics,fyn_delivery_logistics_current_20250810.csv,current,2025-08-10,6
delivery_logistics,fyn_delivery_logistics_current_20250910.csv,current,2025-09-10,6
delivery_logistics,fyn_delivery_logistics_current_20251010.csv,current,2025-10-10,6
delivery_logistics,fyn_delivery_logistics_current_20251110.csv,current,2025-11-10,6
delivery_logistics,fyn_delivery_logistics_current_20251210.csv,current,2025-12-10,6
delivery_logistics,fyn_delivery_logistics_current_20260110.csv,current,2026-01-10,6
delivery_logistics,fyn_delivery_logistics_current_20260210.csv,current,2026-02-10,6
delivery_logistics,fyn_delivery_logistics_current_20260228.csv,current,2026-02-28,6
delivery_logistics,fyn_delivery_logistics_current_20260310.csv,current,2026-03-10,6
delivery_logistics,fyn_delivery_logistics_current_20260320.csv,current,2026-03-20,6
delivery_logistics,fyn_delivery_logistics_current_20260330.csv,current,2026-03-30,6
delivery_logistics,fyn_delivery_logistics_current_20260410.csv,current,2026-04-10,6
delivery_logistics,fyn_delivery_logistics_current_20260420.csv,current,2026-04-20,6
delivery_logistics,fyn_delivery_logistics_current_20260430.csv,current,2026-04-30,6
delivery_logistics,fyn_delivery_logistics_current_20260510.csv,current,2026-05-10,6
delivery_logistics,fyn_delivery_logistics_current_20260520.csv,current,2026-05-20,6
delivery_logistics,fyn_delivery_logistics_current_20260530.csv,current,2026-05-30,6
delivery_logistics,fyn_delivery_logistics_current_20260606.csv,current,2026-06-06,6
delivery_logistics,fyn_delivery_logistics_current_20260620.csv,current,2026-06-20,6
delivery_logistics,fyn_delivery_logistics_current_20260710.csv,current,2026-07-10,6
delivery_logistics,fyn_delivery_logistics_current_20260810.csv,current,2026-08-10,6
delivery_logistics,fyn_delivery_logistics_current_20260910.csv,current,2026-09-10,6
delivery_logistics,fyn_delivery_logistics_norm.csv,norm,2026-06-06,31
drugs,fyn_drugs_current_20240810.csv,current,2024-08-10,6
drugs,fyn_drugs_current_20241010.csv,current,2024-10-10,6
drugs,fyn_drugs_current_20241210.csv,current,2024-12-10,6
drugs,fyn_drugs_current_20250210.csv,current,2025-02-10,6
drugs,fyn_drugs_current_20250410.csv,current,2025-04-10,6
drugs,fyn_drugs_current_20250610.csv,current,2025-06-10,6
drugs,fyn_drugs_current_20250710.csv,current,2025-07-10,6
drugs,fyn_drugs_current_20250810.csv,current,2025-08-10,6
drugs,fyn_drugs_current_20250910.csv,current,2025-09-10,6
drugs,fyn_drugs_current_20251010.csv,current,2025-10-10,6
drugs,fyn_drugs_current_20251110.csv,current,2025-11-10,6
drugs,fyn_drugs_current_20251210.csv,current,2025-12-10,6
drugs,fyn_drugs_current_20260110.csv,current,2026-01-10,6
drugs,fyn_drugs_current_20260210.csv,current,2026-02-10,6
drugs,fyn_drugs_current_20260310.csv,current,2026-03-10,6
drugs,fyn_drugs_current_20260410.csv,current,2026-04-10,6
drugs,fyn_drugs_current_20260510.csv,current,2026-05-10,6
drugs,fyn_drugs_current_20260620.csv,current,2026-06-20,6
drugs,fyn_drugs_current_20260710.csv,current,2026-07-10,6
drugs,fyn_drugs_current_20260810.csv,current,2026-08-10,6
drugs,fyn_drugs_current_20260910.csv,current,2026-09-10,6
drugs,fyn_drugs_norm.csv,norm,2026-06-06,31
energy,fyn_energy_current_20240810.csv,current,2024-08-10,6
energy,fyn_energy_current_20241010.csv,current,2024-10-10,6
energy,fyn_energy_current_20241210.csv,current,2024-12-10,6
energy,fyn_energy_current_20250210.csv,current,2025-02-10,6
energy,fyn_energy_current_20250410.csv,current,2025-04-10,6
energy,fyn_energy_current_20250610.csv,current,2025-06-10,6
energy,fyn_energy_current_20250710.csv,current,2025-07-10,6
energy,fyn_energy_current_20250810.csv,current,2025-08-10,6
energy,fyn_energy_current_20250910.csv,current,2025-09-10,6
energy,fyn_energy_current_20251010.csv,current,2025-10-10,6
energy,fyn_energy_current_20251110.csv,current,2025-11-10,6
energy,fyn_energy_current_20251210.csv,current,2025-12-10,6
energy,fyn_energy_current_20260110.csv,current,2026-01-10,6
energy,fyn_energy_current_20260210.csv,current,2026-02-10,6
energy,fyn_energy_current_20260228.csv,current,2026-02-28,6
energy,fyn_energy_current_20260310.csv,current,2026-03-10,6
energy,fyn_energy_current_20260320.csv,current,2026-03-20,6
energy,fyn_energy_current_20260330.csv,current,2026-03-30,6
energy,fyn_energy_current_20260410.csv,current,2026-04-10,6
energy,fyn_energy_current_20260420.csv,current,2026-04-20,6
energy,fyn_energy_current_20260430.csv,current,2026-04-30,6
energy,fyn_energy_current_20260510.csv,current,2026-05-10,6
energy,fyn_energy_current_20260520.csv,current,2026-05-20,6
energy,fyn_energy_current_20260530.csv,current,2026-05-30,6
energy,fyn_energy_current_20260606.csv,current,2026-06-06,6
energy,fyn_energy_current_20260620.csv,current,2026-06-20,6
energy,fyn_energy_current_20260710.csv,current,2026-07-10,6
energy,fyn_energy_current_20260810.csv,current,2026-08-10,6
energy,fyn_energy_current_20260910.csv,current,2026-09-10,6
energy,fyn_energy_norm.csv,norm,2026-06-06,31
food,fyn_food_current_20240810.csv,current,2024-08-10,8
food,fyn_food_current_20241010.csv,current,2024-10-10,8
food,fyn_food_current_20241210.csv,current,2024-12-10,8
food,fyn_food_current_20250210.csv,current,2025-02-10,8
food,fyn_food_current_20250410.csv,current,2025-04-10,8
food,fyn_food_current_20250610.csv,current,2025-06-10,8
food,fyn_food_current_20250710.csv,current,2025-07-10,8
food,fyn_food_current_20250810.csv,current,2025-08-10,8
food,fyn_food_current_20250910.csv,current,2025-09-10,8
food,fyn_food_current_20251010.csv,current,2025-10-10,8
food,fyn_food_current_20251110.csv,current,2025-11-10,8
food,fyn_food_current_20251210.csv,current,2025-12-10,8
