symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
LIN,0001707925,2021,2021-12-31,USD,344.33,2021-12-30,507744577,2022-01-31,3826000000,30793000000,,4984000000,4635000000,9725000000,3086000000,45428000000,11335000000,2823000000,174831685121.0,183343685121.0,9619000000,6639000000,45.6957,5.6776,3.8485,19.0606,0.037974,0.1242,,0.1303,0.5298,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LIN,0001707925,2022,2022-12-31,USD,326.18,2022-12-30,492160806,2023-01-31,4147000000,33364000000,,5369000000,4204000000,8864000000,3173000000,41374000000,12198000000,5436000000,160533006779.0,167295006779.0,9573000000,5691000000,38.7106,4.8116,3.88,17.4757,0.035451,0.1243,,0.0835,0.0839,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LIN,0001707925,2023,2023-12-31,USD,410.71,2023-12-29,481576472,2024-01-31,6199000000,32854000000,,8024000000,3816000000,9305000000,3787000000,41082000000,13397000000,4664000000,197788267999.0,206521267999.0,11840000000,5518000000,31.9065,6.0202,4.8145,17.4427,0.027899,0.1887,,-0.0153,0.4948,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LIN,0001707925,2024,2024-12-31,USD,417.66,2024-12-30,472911618,2025-01-31,6565000000,33005000000,,8635000000,3780000000,9423000000,4497000000,39475000000,15343000000,4850000000,197516266374.0,208009266374.0,12415000000,4926000000,30.0863,5.9844,5.0036,16.7547,0.02494,0.1989,,0.0046,0.059,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LIN,0001707925,2025,2025-12-31,USD,428.36,2025-12-30,463394156,2026-01-31,6898000000,33986000000,,8923000000,3763000000,10350000000,5261000000,38245000000,20683000000,5056000000,198499516030.0,214126516030.0,12686000000,5089000000,28.7764,5.8406,5.1902,16.879,0.025637,0.203,,0.0297,0.0507,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
APD,0000002969,2021,2021-09-30,USD,,,221460382,2021-10-31,2099100000,10323000000,,2281400000,1321300000,3335200000,2464200000,14088000000,6875700000,4468900000,,,3602700000,871000000,,,,,,0.2033,,0.1656,0.1126,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
APD,0000002969,2022,2022-09-30,USD,,,221865971,2022-10-31,2256100000,12698600000,,2338800000,1338200000,3170600000,2926500000,13702400000,6433800000,2711000000,,,3677000000,244100000,,,,,,0.1777,,0.2301,0.0748,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
APD,0000002969,2023,2023-09-30,USD,,,222207726,2023-10-31,2300200000,12600000000,,2494600000,1358300000,3205700000,4626400000,15660300000,,1617000000,,,3852900000,-1420700000,,,,,,0.1826,,-0.0078,0.0195,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
APD,0000002969,2024,2024-09-30,USD,300.36,2024-09-27,222378909,2024-10-31,3828200000,12100600000,,4466100000,1451100000,3646700000,6796700000,18673700000,,2979700000,66793726883.0,63814026883.0,5917200000,-3150000000,17.4478,5.5199,3.5769,10.7845,-0.04716,0.3164,,-0.0396,0.6643,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
APD,0000002969,2025,2025-09-30,USD,270.48,2025-09-29,222590241,2025-10-31,-394500000,12037300000,,-877000000,1564200000,3256800000,7022600000,15024900000,,1856000000,60206210612.0,58350210612.0,687200000,-3765800000,-152.614,5.0016,4.0071,84.9101,-0.062548,-0.0328,,-0.0052,-1.1031,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,negative P/E (loss-making FY)
SHW,0000089800,2021,2021-12-31,USD,,,260373774,2022-01-31,1864400000,19944600000,8542700000,3083700000,,2244600000,372000000,2437200000,8851500000,165700000,,,,1872600000,,,,,,0.0935,0.4283,0.0862,-0.0818,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SHW,0000089800,2022,2022-12-31,USD,,,258442281,2023-01-31,2020100000,22148900000,9325100000,3397200000,,1919900000,644500000,3102100000,9591600000,198800000,,,,1275400000,,,,,,0.0912,0.421,0.1105,0.0835,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SHW,0000089800,2023,2023-12-31,USD,,,254464522,2024-01-31,2388800000,23051900000,10758100000,4161700000,,3521900000,888400000,3715800000,9476700000,276800000,,,,2633500000,,,,,,0.1036,0.4667,0.0408,0.1825,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
