symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
JPM,0000019617,2021,2021-12-31,USD,158.48,2021-12-30,2952808970,2022-01-31,48300000000,121649000000,,,7932000000,78084000000,,294127000000,,740834000000,467961165566.0,-272872834434.0,,,9.6886,3.8468,1.591,,,0.397,,0.0142,0.658,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JPM,0000019617,2022,2022-12-31,USD,134.1,2022-12-30,2943355459,2023-01-31,37700000000,128695000000,,,7051000000,107119000000,,292332000000,,567234000000,394703996485.0,-172530003515.0,,,10.4696,3.067,1.3502,,,0.2929,,0.0579,-0.2195,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JPM,0000019617,2023,2023-12-31,USD,170.1,2023-12-29,2880371498,2024-01-31,49600000000,158104000000,,,7512000000,12974000000,,327878000000,,624151000000,489951220614.0,-134199779386.0,,,9.878,3.0989,1.4943,,,0.3137,,0.2285,0.3156,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JPM,0000019617,2024,2024-12-31,USD,,,2796106099,2025-01-31,58500000000,177556000000,,,7938000000,-42012000000,,344758000000,,469317000000,,,,,,,,,,0.3295,,0.123,0.1794,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
JPM,0000019617,2025,2025-12-31,USD,,,2697032375,2026-01-31,57000000000,182447000000,,,8821000000,-147782000000,,362438000000,,343338000000,,,,,,,,,,0.3124,,0.0275,-0.0256,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
BAC,0000070858,2021,2021-12-31,USD,44.53,2021-12-30,8069801301,2022-02-18,31978000000,89113000000,,,1898000000,-7193000000,,270066000000,280117000000,348221000000,359348251934.0,291244251934.0,,,11.2374,4.0325,1.3306,,,0.3588,,0.0419,0.7871,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BAC,0000070858,2022,2022-12-31,USD,33.12,2022-12-30,8003839222,2023-02-21,27528000000,94950000000,,,1978000000,-6327000000,,273197000000,275982000000,230203000000,265087155033.0,310866155033.0,,,9.6297,2.7919,0.9703,,,0.2899,,0.0655,-0.1392,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BAC,0000070858,2023,2023-12-31,USD,33.67,2023-12-29,7872657542,2024-02-16,26305000000,102769000000,,,2057000000,44982000000,,290209000000,302204000000,333073000000,265072379439.0,234203379439.0,,,10.0769,2.5793,0.9134,,,0.256,,0.0823,-0.0444,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BAC,0000070858,2024,2024-12-31,USD,,,7604677274,2025-02-24,26973000000,105856000000,,,2189000000,-8805000000,,293963000000,283279000000,290114000000,,,,,,,,,,0.2548,,0.03,0.0254,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
BAC,0000070858,2025,2025-12-31,USD,,,7176682170,2026-02-24,30509000000,113097000000,,,2314000000,12613000000,,303243000000,317816000000,231845000000,,,,,,,,,,0.2698,,0.0684,0.1311,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
C,0000831001,2021,2021-12-31,USD,60.43,2021-12-30,1980894613,2022-01-31,21952000000,71884000000,,,3964000000,47090000000,4119000000,202672000000,254374000000,262033000000,119705461464.0,112046461464.0,,42971000000,5.4531,1.6653,0.5906,,0.358973,0.3054,,-0.0479,0.9871,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
C,0000831001,2022,2022-12-31,USD,45.23,2022-12-30,1943712436,2023-01-31,14845000000,75338000000,,,4262000000,25069000000,5632000000,201838000000,271606000000,342025000000,87914113480.0,17495113480.0,,19437000000,5.9221,1.1669,0.4356,,0.221091,0.197,,0.048,-0.3238,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
C,0000831001,2023,2023-12-31,USD,51.44,2023-12-29,1911366783,2024-01-31,9228000000,78066000000,,,4560000000,-73416000000,6583000000,206251000000,286619000000,260932000000,98320707318.0,124007707318.0,,-79999000000,10.6546,1.2595,0.4767,,-0.813654,0.1182,,0.0362,-0.3784,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
C,0000831001,2024,2024-12-31,USD,,,1884479551,2025-01-31,12682000000,80722000000,,,4311000000,-19669000000,6500000000,208598000000,287300000000,276532000000,,,,-26169000000,,,,,,0.1571,,0.034,0.3743,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
C,0000831001,2025,2025-12-31,USD,,,1749319009,2026-01-31,14306000000,85225000000,,,4373000000,-67632000000,6520000000,212291000000,315827000000,349579000000,,,,-74152000000,,,,,,0.1679,,0.0558,0.1281,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
GS,0000886982,2021,2021-12-31,USD,,,337922970,2022-02-11,21635000000,,,,2015000000,6298000000,4667000000,109926000000,301047000000,261036000000,,,,1631000000,,,,,,,,,1.2872,missing,SEC EDGAR XBRL companyconcept (latest restated annual),missing,twelvedata error: HTTP Error 429: Too Many Requests; no annual revenue
