symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AMZN,0001018724,2021,2021-12-31,USD,3372.89,2021-12-30,508844410,2022-01-26,33364000000,469822000000,,24879000000,34433000000,46327000000,61053000000,138245000000,50553000000,36477000000,1716276227133.0,1730352227133.0,59312000000,-14726000000,51.441,3.653,12.4147,29.1737,-0.00858,0.071,,0.217,0.5641,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMZN,0001018724,2022,2022-12-31,USD,84.0,2022-12-30,10247259757,2023-01-25,-2722000000,513983000000,,12248000000,41921000000,46752000000,63645000000,146043000000,70542000000,54253000000,860769819588.0,877058819588.0,54169000000,-16893000000,-316.227,1.6747,5.8939,16.1912,-0.019625,-0.0053,,0.094,-1.0816,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,negative P/E (loss-making FY)
AMZN,0001018724,2023,2023-12-31,USD,,,10387381291,2024-01-24,30425000000,574785000000,,36852000000,48663000000,84946000000,52729000000,201875000000,67182000000,73890000000,,,85515000000,32217000000,,,,,,0.0529,,0.1183,-12.1774,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
AMZN,0001018724,2024,2024-12-31,USD,,,10597729352,2025-01-29,59248000000,637959000000,,68593000000,52795000000,115877000000,82999000000,285970000000,58000000000,82312000000,,,121388000000,32878000000,,,,,,0.0929,,0.1099,0.9473,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
AMZN,0001018724,2025,2025-12-31,USD,,,10734920870,2026-01-28,77670000000,716924000000,,79975000000,65756000000,139514000000,131819000000,411065000000,68836000000,86810000000,,,145731000000,7695000000,,,,,,0.1083,,0.1238,0.3109,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
HD,0000354950,2021,2021-01-31,USD,270.82,2021-01-29,1077069383,2021-03-05,12866000000,132110000000,44853000000,18278000000,2519000000,18839000000,2463000000,3299000000,35822000000,7895000000,291691941075.0,319618941075.0,20797000000,16376000000,22.6715,2.2079,88.4183,15.3685,0.056141,0.0974,0.3395,0.1985,0.1445,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
HD,0000354950,2022,2022-01-30,USD,366.54,2022-01-28,1033349933,2022-03-04,16430000000,151157000000,50832000000,23040000000,2862000000,16571000000,2566000000,-1696000000,36604000000,2343000000,378764094775.0,413025094775.0,25902000000,14005000000,23.0532,2.5058,-223.3279,15.9457,0.036976,0.1087,0.3363,0.1442,0.277,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
HD,0000354950,2023,2023-01-29,USD,,,1014955506,2023-03-01,17110000000,157403000000,52778000000,24039000000,2796000000,14615000000,3119000000,1562000000,41962000000,2757000000,,,26835000000,11496000000,,,,,,0.1087,0.3353,0.0413,0.0414,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
HD,0000354950,2024,2024-01-28,USD,,,991015773,2024-02-28,15140000000,152669000000,50960000000,21689000000,3061000000,21172000000,3226000000,1044000000,42743000000,3760000000,,,24750000000,17946000000,,,,,,0.0992,0.3338,-0.0301,-0.1151,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
HD,0000354950,2025,2025-02-02,USD,,,994032168,2025-03-05,14810000000,159514000000,53308000000,21526000000,3336000000,19810000000,3485000000,6640000000,48485000000,1659000000,,,24862000000,16325000000,,,,,,0.0928,0.3342,0.0448,-0.0218,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
LOW,0000060667,2021,2021-01-29,USD,172.34,2021-01-28,717256852,2021-03-19,5835000000,89597000000,29572000000,9647000000,1594000000,11049000000,1791000000,1437000000,20668000000,4690000000,123612045874.0,139590045874.0,11241000000,9258000000,21.1846,1.3796,86.0209,12.4179,0.074896,0.0651,0.3301,0.2419,0.363,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LOW,0000060667,2022,2022-01-28,USD,225.93,2022-01-27,661561297,2022-03-17,8442000000,96250000000,32056000000,12093000000,1882000000,10113000000,1853000000,-4816000000,23859000000,1133000000,149466537216.0,172192537216.0,13975000000,8260000000,17.7051,1.5529,-31.0354,12.3215,0.055263,0.0877,0.333,0.0743,0.4468,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LOW,0000060667,2023,2023-02-03,USD,,,596356261,2023-03-23,6437000000,97059000000,32257000000,10159000000,1981000000,8589000000,1829000000,-14254000000,32876000000,1348000000,,,12140000000,6760000000,,,,,,0.0663,0.3323,0.0084,-0.2375,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
LOW,0000060667,2024,2024-02-02,USD,,,572184243,2024-03-21,7726000000,86377000000,28844000000,11557000000,1923000000,8140000000,1964000000,-15050000000,35384000000,921000000,,,13480000000,6176000000,,,,,,0.0894,0.3339,-0.1101,0.2002,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
