symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
UPS,0001090727,2021,2021-12-31,USD,213.9,2021-12-30,878000000,2021-12-31,12890000000,97287000000,,12810000000,2953000000,15007000000,4194000000,14253000000,21915000000,10255000000,187804191220.0,199464191220.0,15763000000,10813000000,14.5698,1.9304,13.1765,12.6539,0.057576,0.1325,,0.1496,8.5979,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UPS,0001090727,2022,2022-12-31,USD,173.84,2022-12-30,875000000,2022-12-31,11548000000,100338000000,,13094000000,3188000000,14104000000,4769000000,19786000000,17321000000,5602000000,152110000000.0,163829000000.0,16282000000,9335000000,13.172,1.516,7.6878,10.062,0.06137,0.1151,,0.0314,-0.1041,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UPS,0001090727,2023,2023-12-31,USD,157.23,2023-12-29,860000000,2023-12-31,6708000000,90958000000,,9141000000,2800000000,10238000000,5158000000,17306000000,18916000000,3206000000,135217800000.0,150927800000.0,11941000000,5080000000,20.1577,1.4866,7.8133,12.6395,0.037569,0.0737,,-0.0935,-0.4191,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UPS,0001090727,2024,2024-12-31,USD,125.32,2024-12-30,856000000,2024-12-31,5782000000,91070000000,,8468000000,3000000000,10122000000,3909000000,16718000000,19446000000,6112000000,107273920000.0,120607920000.0,11468000000,6213000000,18.5531,1.1779,6.4167,10.5169,0.057917,0.0635,,0.0012,-0.138,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UPS,0001090727,2025,2025-12-31,USD,99.64,2025-12-30,850000000,2025-12-31,5572000000,88661000000,,7867000000,3000000000,8450000000,3685000000,16227000000,23519000000,5887000000,84694000000.0,102326000000.0,10867000000,4765000000,15.1999,0.9553,5.2193,9.4162,0.056261,0.0628,,-0.0265,-0.0363,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FDX,0001048911,2021,2021-05-31,USD,314.81,2021-05-28,267348232,2021-07-15,5231000000,83959000000,,5857000000,3793000000,10135000000,5884000000,24168000000,20733000000,7087000000,84163896916.0,97809896916.0,9650000000,4251000000,16.0894,1.0024,3.4825,10.1357,0.050509,0.0623,,0.213,3.0677,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FDX,0001048911,2022,2022-05-31,USD,219.67,2022-05-27,259845660,2022-07-14,3826000000,93512000000,,6245000000,3970000000,9832000000,6763000000,24939000000,20182000000,6897000000,57080293534.0,70365293534.0,10215000000,3069000000,14.9191,0.6104,2.2888,6.8884,0.053766,0.0409,,0.1138,-0.2686,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FDX,0001048911,2023,2023-05-31,USD,,,251187242,2023-07-13,3972000000,90155000000,,4912000000,4176000000,8848000000,6174000000,26088000000,20453000000,6856000000,,,9088000000,2674000000,,,,,,0.0441,,-0.0359,0.0382,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
FDX,0001048911,2024,2024-05-31,USD,249.58,2024-05-30,244302246,2024-07-11,4331000000,87693000000,,5559000000,4287000000,8312000000,5176000000,27582000000,20135000000,6501000000,60972952114.0,74606952114.0,9846000000,3136000000,14.0783,0.6953,2.2106,7.5774,0.051433,0.0494,,-0.0273,0.0904,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FDX,0001048911,2025,2025-05-31,USD,218.1,2025-05-30,235899098,2025-07-17,4092000000,87926000000,,5217000000,4264000000,7036000000,4055000000,28074000000,19151000000,5502000000,51449591623.0,65098591623.0,9481000000,2981000000,12.5732,0.5851,1.8326,6.8662,0.05794,0.0465,,0.0027,-0.0552,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
