symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
LLY,0000059478,2021,2021-12-31,USD,277.25,2021-12-30,952347126,2022-02-18,5581700000,28318400000,,,1547600000,7365900000,,8979200000,16741200000,3818500000,264038240684.0,276960940684.0,,,47.3043,9.3239,29.4055,,,0.1971,,0.154,-0.0988,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LLY,0000059478,2022,2022-12-31,USD,365.84,2022-12-30,950296118,2023-02-17,6244800000,28541400000,,,1522500000,7585700000,,10649800000,14815300000,2067000000,347656331809.0,360404631809.0,,,55.6713,12.1808,32.6444,,,0.2188,,0.0079,0.1188,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LLY,0000059478,2023,2023-12-31,USD,582.92,2023-12-29,950164452,2024-02-16,5240000000,34124000000,,,1527000000,4240000000,,10771900000,19104600000,2818600000,553869843357.0,570155843357.0,,,105.7004,16.2311,51.418,,,0.1536,,0.1956,-0.1609,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LLY,0000059478,2024,2024-12-31,USD,773.84,2024-12-30,948169999,2025-02-14,10590000000,45043000000,,,1767000000,8818000000,,14272000000,33644000000,3268000000,733731900471.0,764107900471.0,,,69.2854,16.2896,51.4106,,,0.2351,,0.32,1.021,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
LLY,0000059478,2025,2025-12-31,USD,,,943357420,2026-02-09,20640000000,65179000000,,,1997000000,16813000000,,26535000000,42503000000,7268000000,,,,,,,,,,0.3167,,0.447,0.949,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
JNJ,0000200406,2021,2021-01-03,USD,157.38,2020-12-31,2628679824,2021-02-16,14714000000,82584000000,54157000000,,7231000000,23536000000,3347000000,63278000000,34434000000,13985000000,413701630701.0,434150630701.0,,20189000000,28.1162,5.0095,6.5378,,0.048801,0.1782,0.6558,,,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JNJ,0000200406,2022,2022-01-02,USD,171.07,2021-12-31,2629268158,2022-02-10,20878000000,78740000000,55338000000,,7390000000,23410000000,3652000000,74023000000,32116000000,14487000000,449788922194.0,467417922194.0,,19758000000,21.5437,5.7123,6.0763,,0.043927,0.2652,0.7028,-0.0465,0.4189,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JNJ,0000200406,2023,2023-12-31,USD,156.74,2023-12-29,2408767228,2024-02-09,35153000000,85159000000,58606000000,,7486000000,22791000000,4543000000,68774000000,27350000000,21859000000,377550199404.0,383041199404.0,,18248000000,10.7402,4.4335,5.4897,,0.048333,0.4128,0.6882,0.0815,0.6837,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JNJ,0000200406,2024,2024-12-29,USD,145.05,2024-12-27,2407616693,2025-02-06,14066000000,88821000000,61350000000,,7339000000,24266000000,4424000000,71490000000,32400000000,24105000000,349224808543.0,357519808543.0,,19842000000,24.8276,3.9318,4.8849,,0.056817,0.1584,0.6907,0.043,-0.5999,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
JNJ,0000200406,2025,2025-12-28,USD,,,2409898936,2026-02-06,26804000000,94193000000,63937000000,,7503000000,24530000000,4832000000,81544000000,41438000000,19709000000,,,,19698000000,,,,,,0.2846,0.6788,0.0605,0.9056,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
