symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
XOM,0000034088,2021,2021-12-31,USD,60.79,2021-12-30,4233592429,2022-01-31,23040000000,285640000000,,,20607000000,48129000000,12076000000,175683000000,43428000000,6802000000,257360083759.0,293986083759.0,,36053000000,11.1701,0.901,1.4649,,0.140088,0.0807,,0.5738,-2.0267,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
XOM,0000034088,2022,2022-12-31,USD,110.3,2022-12-30,4070984988,2023-01-31,55740000000,413680000000,,,24040000000,76797000000,18407000000,202473000000,40559000000,29665000000,449029644176.0,459923644176.0,,58390000000,8.0558,1.0855,2.2177,,0.130036,0.1347,,0.4483,1.4193,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
XOM,0000034088,2023,2023-12-31,USD,,,3967844307,2024-01-31,36010000000,344582000000,,,20641000000,55369000000,21919000000,212538000000,37483000000,31568000000,,,,33450000000,,,,,,0.1045,,-0.167,-0.354,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
XOM,0000034088,2024,2024-12-31,USD,,,4339143313,2025-01-31,33680000000,349585000000,,,23442000000,55022000000,24306000000,270606000000,36755000000,23187000000,,,,30716000000,,,,,,0.0963,,0.0145,-0.0647,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
XOM,0000034088,2025,2025-12-31,USD,,,4166763453,2026-01-31,28844000000,332238000000,,,25993000000,51970000000,28358000000,259386000000,34241000000,10681000000,,,,23612000000,,,,,,0.0868,,-0.0496,-0.1436,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
CVX,0000093410,2021,2021-12-31,USD,117.43,2021-12-30,1947553346,2022-02-10,15600000000,155606000000,,,17925000000,29187000000,8056000000,139940000000,31113000000,6795000000,228701189421.0,253019189421.0,,21131000000,14.6603,1.4697,1.6343,,0.092396,0.1003,,0.6471,-3.8144,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
CVX,0000093410,2022,2022-12-31,USD,,,1906674044,2023-02-10,35500000000,235717000000,,,16319000000,49602000000,11974000000,160242000000,21375000000,19121000000,,,,37628000000,,,,,,0.1506,,0.5148,1.2756,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
CVX,0000093410,2023,2023-12-31,USD,,,1857269160,2024-02-09,21400000000,196913000000,,,17326000000,35609000000,15829000000,161929000000,20307000000,9275000000,,,,19780000000,,,,,,0.1087,,-0.1646,-0.3972,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
CVX,0000093410,2024,2024-12-31,USD,,,1760598537,2025-02-07,17700000000,193414000000,,,17282000000,31492000000,16448000000,153157000000,20135000000,8262000000,,,,15044000000,,,,,,0.0915,,-0.0178,-0.1729,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
CVX,0000093410,2025,2025-12-31,USD,,,1995385539,2026-02-06,12300000000,184432000000,,,20132000000,33939000000,17347000000,186450000000,39781000000,7285000000,,,,16592000000,,,,,,0.0667,,-0.0464,-0.3051,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COP,0001163165,2021,2021-12-31,USD,72.28,2021-12-30,1299526916,2022-01-31,8079000000,34590000000,,,7208000000,16996000000,5324000000,45406000000,18734000000,5398000000,93929805488.0,107265805488.0,,11672000000,11.6264,2.7155,2.0687,,0.124263,0.2336,,1.5318,-3.9911,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
COP,0001163165,2022,2022-12-31,USD,118.0,2022-12-30,1218776494,2023-01-31,18680000000,61049000000,,,7504000000,28314000000,10159000000,48003000000,16226000000,6694000000,143815626292.0,153347626292.0,,18155000000,7.6989,2.3557,2.996,,0.126238,0.306,,0.7649,1.3122,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
COP,0001163165,2023,2023-12-31,USD,,,1176408368,2024-01-31,10957000000,48522000000,,,8270000000,19965000000,,49279000000,17863000000,5899000000,,,,,,,,,,0.2258,,-0.2052,-0.4134,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COP,0001163165,2024,2024-12-31,USD,,,1272380205,2025-01-31,9245000000,49418000000,,,9599000000,20124000000,,64796000000,23289000000,5905000000,,,,,,,,,,0.1871,,0.0185,-0.1562,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COP,0001163165,2025,2025-12-31,USD,,,1222339152,2026-01-31,7988000000,51824000000,,,11500000000,19796000000,,64487000000,22424000000,6497000000,,,,,,,,,,0.1541,,0.0487,-0.136,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
EOG,0000821189,2021,2021-12-31,USD,89.18,2021-12-30,585419164,2022-02-11,4664000000,18642000000,,6102000000,3651000000,8791000000,,22180000000,,5209000000,52207681046.0,46998681046.0,9753000000,,11.1938,2.8005,2.3538,4.8189,,0.2502,,0.6898,-8.7091,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
EOG,0000821189,2022,2022-12-31,USD,129.52,2022-12-30,587723622,2023-02-16,7759000000,25702000000,,9966000000,3542000000,11093000000,,24779000000,,5972000000,76121963521.0,70149963521.0,13508000000,,9.8108,2.9617,3.072,5.1932,,0.3019,,0.3787,0.6636,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
EOG,0000821189,2023,2023-12-31,USD,,,580001872,2024-02-15,7594000000,24186000000,,9603000000,3492000000,11340000000,,28090000000,,5278000000,,,13095000000,,,,,,,0.314,,-0.059,-0.0213,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
EOG,0000821189,2024,2024-12-31,USD,,,553926330,2025-02-13,6403000000,23698000000,,8082000000,4108000000,12143000000,,29351000000,,7092000000,,,12190000000,,,,,,,0.2702,,-0.0202,-0.1568,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
EOG,0000821189,2025,2025-12-31,USD,,,536491493,2026-02-13,4980000000,22632000000,,6385000000,4461000000,10044000000,,29833000000,,3396000000,,,10846000000,,,,,,,0.22,,-0.045,-0.2222,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SLB,0000087347,2021,2021-12-31,USD,29.82,2021-12-30,1403381685,2021-12-31,1881000000,22929000000,,3365000000,2120000000,4651000000,1141000000,15286000000,,,41848841847.0,41848841847.0,5485000000,3510000000,22.2482,1.8251,2.7377,7.6297,0.083873,0.082,,-0.0285,-1.1788,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SLB,0000087347,2022,2022-12-31,USD,53.46,2022-12-30,1420188492,2022-12-31,3441000000,28091000000,,5011000000,2147000000,3720000000,1618000000,17989000000,,,75923276782.0,75923276782.0,7158000000,2102000000,22.0643,2.7028,4.2205,10.6068,0.027686,0.1225,,0.2251,0.8293,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SLB,0000087347,2023,2023-12-31,USD,,,1427394843,2023-12-31,4203000000,33135000000,,6523000000,2312000000,6637000000,1939000000,21359000000,,,,,8835000000,4698000000,,,,,,0.1268,,0.1796,0.2214,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SLB,0000087347,2024,2024-12-31,USD,,,1400850420,2024-12-31,4461000000,36289000000,,,2519000000,6602000000,1931000000,22350000000,,,,,,4671000000,,,,,,0.1229,,0.0952,0.0614,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SLB,0000087347,2025,2025-12-31,USD,,,1495331485,2025-12-31,3374000000,35708000000,,,2643000000,6489000000,1694000000,26109000000,,,,,,4795000000,,,,,,0.0945,,-0.016,-0.2437,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
BASKET_AVG,,2021,,USD,,,,,,,,,,,,,,,,,,,14.1798,1.9424,2.0519,6.2243,0.110155,0.1494,,0.6828,-3.944,,basket average across semis companies for this FY,aggregate,average over 5 companies with data
BASKET_AVG,,2022,,USD,,,,,,,,,,,,,,,,,,,11.9075,2.2764,3.1265,7.9,0.094653,0.2031,,0.4664,1.1,,basket average across semis companies for this FY,aggregate,average over 5 companies with data
BASKET_AVG,,2023,,USD,,,,,,,,,,,,,,,,,,,,,,,,0.176,,-0.0832,-0.1929,,basket average across semis companies for this FY,aggregate,average over 5 companies with data
BASKET_AVG,,2024,,USD,,,,,,,,,,,,,,,,,,,,,,,,0.1536,,0.018,-0.0978,,basket average across semis companies for this FY,aggregate,average over 5 companies with data
BASKET_AVG,,2025,,USD,,,,,,,,,,,,,,,,,,,,,,,,0.1244,,-0.0217,-0.2101,,basket average across semis companies for this FY,aggregate,average over 5 companies with data
BASKET_AVG,,five_year_average,,USD,,,,,,,,,,,,,,,,,,,13.1698,2.0908,2.5295,7.0621,0.103511,0.1613,,0.2125,-0.669,,"five-year (FY2021-FY2025) basket norm, pooled across all company-FY observations",aggregate,USD-fundamental companies only for price ratios (ASML EUR excluded from price ratios)
