symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
WMT,0000104169,2021,2021-01-31,USD,140.49,2021-01-29,2817071695,2021-03-17,13510000000,555233000000,,22548000000,11152000000,36074000000,10264000000,87531000000,44309000000,17788000000,395770430601.0,422291430601.0,33700000000,25810000000,29.2946,0.7128,4.5215,12.5309,0.065215,0.0243,,0.0679,-0.0921,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
WMT,0000104169,2022,2022-01-31,USD,137.52,2022-01-28,2751779629,2022-03-16,13673000000,567762000000,,25942000000,10658000000,24181000000,13106000000,91891000000,37667000000,14834000000,378424734580.0,401257734580.0,36600000000,11075000000,27.6768,0.6665,4.1182,10.9633,0.029266,0.0241,,0.0226,0.0121,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
WMT,0000104169,2023,2023-01-31,USD,,,2695655933,2023-03-15,11680000000,605881000000,,20428000000,10945000000,28841000000,16857000000,83754000000,38840000000,8841000000,,,31373000000,11984000000,,,,,,0.0193,,0.0671,-0.1458,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
WMT,0000104169,2024,2024-01-31,USD,,,8058048674,2024-03-13,15511000000,642637000000,,27012000000,11853000000,35726000000,20606000000,90349000000,39579000000,9935000000,,,38865000000,15120000000,,,,,,0.0241,,0.0607,0.328,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
WMT,0000104169,2025,2025-01-31,USD,98.65,2025-01-30,8016849444,2025-03-12,19436000000,674538000000,,29348000000,12973000000,36443000000,23783000000,97421000000,35999000000,9536000000,790862197651.0,817325197651.0,42321000000,12660000000,40.6906,1.1725,8.118,19.3125,0.016008,0.0288,,0.0496,0.253,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
COST,0000909832,2021,2021-08-29,USD,450.34,2021-08-27,441823811,2021-09-28,5007000000,195929000000,,6708000000,1781000000,8958000000,3588000000,18078000000,7531000000,11258000000,198970935046.0,195243935046.0,8489000000,5370000000,39.7386,1.0155,11.0062,22.9996,0.026989,0.0256,,0.1749,0.2511,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
COST,0000909832,2022,2022-08-28,USD,,,442604145,2022-09-27,5844000000,226954000000,,7793000000,1900000000,7392000000,3891000000,20647000000,,10203000000,,,9693000000,3501000000,,,,,,0.0257,,0.1583,0.1672,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COST,0000909832,2023,2023-09-03,USD,,,442740572,2023-10-03,6292000000,242290000000,,8114000000,2077000000,11068000000,4323000000,25058000000,,13700000000,,,10191000000,6745000000,,,,,,0.026,,0.0676,0.0767,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COST,0000909832,2024,2024-09-01,USD,,,443073537,2024-10-01,7367000000,254453000000,,9285000000,2237000000,11339000000,4710000000,23622000000,,9906000000,,,11522000000,6629000000,,,,,,0.029,,0.0502,0.1709,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
COST,0000909832,2025,2025-08-31,USD,943.32,2025-08-29,443179176,2025-09-30,8099000000,275235000000,,10383000000,2426000000,13335000000,5498000000,29164000000,,14161000000,418059784736.0,403898784736.0,12809000000,7837000000,51.6187,1.5189,14.3348,31.5324,0.018746,0.0294,,0.0817,0.0994,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
KO,0000021344,2021,2021-12-31,USD,58.78,2021-12-30,4335473308,2022-02-18,9771000000,38655000000,23298000000,10308000000,1452000000,12625000000,1367000000,24860000000,39454000000,10025000000,254839121044.0,284268121044.0,11760000000,11258000000,26.0812,6.5927,10.251,24.1725,0.044177,0.2528,0.6027,0.1709,0.2613,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
KO,0000021344,2022,2022-12-31,USD,,,4326691783,2023-02-17,9542000000,43004000000,25004000000,10909000000,1260000000,11018000000,1484000000,25826000000,36776000000,9825000000,,,12169000000,9534000000,,,,,,0.2219,0.5814,0.1125,-0.0234,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
KO,0000021344,2023,2023-12-31,USD,,,4312456168,2024-02-16,10714000000,45754000000,27234000000,11311000000,1128000000,11599000000,1852000000,27480000000,35547000000,9366000000,,,12439000000,9747000000,,,,,,0.2342,0.5952,0.0639,0.1228,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
KO,0000021344,2024,2024-12-31,USD,,,4301000395,2025-02-18,10631000000,47061000000,28737000000,9992000000,1075000000,6805000000,2064000000,26372000000,42375000000,10828000000,,,11067000000,4741000000,,,,,,0.2259,0.6106,0.0286,-0.0077,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
KO,0000021344,2025,2025-12-31,USD,,,4300723069,2026-02-18,13107000000,47941000000,29544000000,13762000000,1050000000,7408000000,2112000000,32169000000,42119000000,10270000000,,,14812000000,5296000000,,,,,,0.2734,0.6163,0.0187,0.2329,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
