symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
UNH,0000731766,2021,2021-12-31,USD,504.43,2021-12-30,940899146,2022-01-31,17732000000,287597000000,,23970000000,3103000000,22343000000,2454000000,75045000000,44632000000,21375000000,474617746808.0,497874746808.0,27073000000,19889000000,26.7662,1.6503,6.3244,18.3901,0.041905,0.0617,,0.1184,0.1512,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UNH,0000731766,2022,2022-12-31,USD,530.18,2022-12-30,932846602,2023-01-31,20639000000,324162000000,,28435000000,3400000000,26206000000,2802000000,81450000000,56756000000,23365000000,494576602120.0,527967602120.0,31835000000,23404000000,23.9632,1.5257,6.0721,16.5845,0.047321,0.0637,,0.1271,0.1639,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UNH,0000731766,2023,2023-12-31,USD,526.47,2023-12-29,921934109,2024-01-31,23144000000,371622000000,,32358000000,3972000000,29068000000,3386000000,94421000000,61473000000,25427000000,485370622707.0,521416622707.0,36330000000,25682000000,20.9718,1.3061,5.1405,14.3522,0.052912,0.0623,,0.1464,0.1214,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
UNH,0000731766,2024,2024-12-31,USD,,,914712333,2025-01-31,15242000000,400278000000,,32287000000,4099000000,24204000000,3499000000,98268000000,76180000000,25312000000,,,36386000000,20705000000,,,,,,0.0381,,0.0771,-0.3414,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
UNH,0000731766,2025,2025-12-31,USD,,,907675839,2026-02-20,12807000000,447567000000,,18964000000,4361000000,19697000000,3622000000,100090000000,77681000000,24365000000,,,23325000000,16075000000,,,,,,0.0286,,0.1181,-0.1598,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
PGR,0000080661,2021,2021-12-31,USD,,,584848536,2022-01-31,3350900000,47702000000,,,,7761700000,243500000,18231600000,4898800000,202000000,,,,7518200000,,,,,,0.0702,,0.1182,-0.4126,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
PGR,0000080661,2022,2022-12-31,USD,,,585340036,2023-01-31,722000000,49611000000,,,,6849000000,292000000,15891000000,6388300000,221000000,,,,6557000000,,,,,,0.0146,,0.04,-0.7845,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
PGR,0000080661,2023,2023-12-31,USD,159.28,2023-12-29,585677464,2024-01-31,3903000000,62109000000,,,,10643000000,252000000,20277000000,6889000000,100000000,93286706466.0,100075706466.0,,10391000000,23.9013,1.502,4.6006,,0.111388,0.0628,,0.2519,4.4058,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
PGR,0000080661,2024,2024-12-31,USD,239.6,2024-12-30,586207679,2025-01-31,8480000000,75372000000,,,,15119000000,285000000,25591000000,6893000000,154000000,140455365750.0,147194365750.0,,14834000000,16.5631,1.8635,5.4885,,0.105614,0.1125,,0.2135,1.1727,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
PGR,0000080661,2025,2025-12-31,USD,229.97,2025-12-30,585906353,2026-01-31,11308000000,87671000000,,,,17548000000,348000000,30323000000,6897000000,138000000,134740883999.0,141499883999.0,,17200000000,11.9155,1.5369,4.4435,,0.127652,0.129,,0.1632,0.3335,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
