symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
ABT,0000001800,2021,2021-12-31,USD,141.0,2021-12-30,1763482267,2022-01-31,7071000000,43075000000,,8425000000,,10533000000,1885000000,35802000000,18050000000,9799000000,248650999647.0,256901999647.0,,8648000000,35.1649,5.7725,6.9452,,0.03478,0.1642,,0.2447,0.5731,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ABT,0000001800,2022,2022-12-31,USD,109.79,2022-12-30,1737946233,2023-01-31,6933000000,43653000000,,8362000000,,9581000000,1777000000,36686000000,16773000000,9882000000,190809116921.0,197700116921.0,,7804000000,27.5219,4.371,5.2011,,0.0409,0.1588,,0.0134,-0.0195,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ABT,0000001800,2023,2023-12-31,USD,110.07,2023-12-29,1735184289,2024-01-31,5723000000,40109000000,,6478000000,,7261000000,2202000000,38603000000,14679000000,6896000000,190991734690.0,198774734690.0,,5059000000,33.3727,4.7618,4.9476,,0.026488,0.1427,,-0.0812,-0.1745,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ABT,0000001800,2024,2024-12-31,USD,,,1734323411,2025-01-31,13402000000,41950000000,,6825000000,,8558000000,2207000000,47664000000,14125000000,7616000000,,,,6351000000,,,,,,0.3195,,0.0459,1.3418,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ABT,0000001800,2025,2025-12-31,USD,,,1737682887,2026-01-31,6524000000,44328000000,,8053000000,,9566000000,2171000000,52130000000,12929000000,8522000000,,,,7395000000,,,,,,0.1472,,0.0567,-0.5132,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ISRG,0001035267,2021,2021-12-31,USD,363.3,2021-12-30,357744031,2022-01-26,1704600000,5710100000,3958500000,1821000000,,2089400000,339500000,11951500000,,1306000000,129968402885.0,128662402885.0,,1749900000,76.2457,22.7611,10.8747,,0.013464,0.2985,0.6932,0.3101,0.6072,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ISRG,0001035267,2022,2022-12-31,USD,265.35,2022-12-30,350389679,2023-02-07,1322300000,6222200000,4196000000,1577100000,,1490800000,532400000,11112600000,,1600700000,92975904827.0,91375204827.0,,958400000,70.3138,14.9426,8.3667,,0.010308,0.2125,0.6744,0.0897,-0.2243,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ISRG,0001035267,2023,2023-12-31,USD,337.36,2023-12-29,352325863,2024-01-25,1798000000,7124100000,4729500000,1766800000,,1813800000,1064200000,13397300000,,2770100000,118860649618.0,116090549618.0,,749600000,66.1071,16.6843,8.872,,0.006307,0.2524,0.6639,0.1449,0.3598,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ISRG,0001035267,2024,2024-12-31,USD,,,356656964,2025-01-27,2322600000,8352100000,5634200000,2348900000,,2415000000,1111200000,16529600000,,2062400000,,,,1303800000,,,,,,0.2781,0.6746,0.1724,0.2918,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ISRG,0001035267,2025,2025-12-31,USD,,,355130237,2026-01-28,2856000000,10064700000,6642300000,2945500000,,3030500000,539800000,17824000000,,3368000000,,,,2490700000,,,,,,0.2838,0.66,0.2051,0.2297,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SYK,0000310764,2021,2021-12-31,USD,270.69,2021-12-30,377544686,2022-01-31,1994000000,17108000000,10968000000,2584000000,1272000000,3263000000,525000000,14877000000,12479000000,2944000000,102197571053.0,111732571053.0,3856000000,2738000000,51.2525,5.9737,6.8695,28.9763,0.026791,0.1166,0.6411,0.1921,0.247,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SYK,0000310764,2022,2022-12-31,USD,244.49,2022-12-30,378831249,2023-01-31,2358000000,18449000000,11578000000,2841000000,1278000000,2624000000,588000000,16616000000,13048000000,1844000000,92620455856.0,103824455856.0,4119000000,2036000000,39.2792,5.0204,5.5742,25.2062,0.021982,0.1278,0.6276,0.0784,0.1825,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SYK,0000310764,2023,2023-12-31,USD,299.46,2023-12-29,380264036,2024-01-31,3165000000,20498000000,13058000000,3888000000,1341000000,3711000000,575000000,18593000000,12995000000,2971000000,113873864418.0,123897864418.0,5229000000,3136000000,35.9791,5.5554,6.1246,23.6944,0.027539,0.1544,0.637,0.1111,0.3422,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SYK,0000310764,2024,2024-12-31,USD,,,381579123,2025-01-31,2993000000,22595000000,14440000000,3689000000,1426000000,4242000000,755000000,20634000000,13597000000,3652000000,,,5115000000,3487000000,,,,,,0.1325,0.6391,0.1023,-0.0543,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SYK,0000310764,2025,2025-12-31,USD,,,382688675,2026-01-31,3246000000,25116000000,16065000000,4889000000,1570000000,5044000000,761000000,22420000000,15859000000,4011000000,,,6459000000,4283000000,,,,,,0.1292,0.6396,0.1116,0.0845,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
MDT,0001613103,2021,2021-04-30,USD,131.5,2021-04-29,1343904180,2021-06-23,3606000000,30117000000,,4484000000,2702000000,6240000000,1355000000,51602000000,26378000000,3593000000,176723399670.0,199508399670.0,7186000000,4885000000,49.0082,5.8679,3.4247,27.7635,0.027642,0.1197,,0.0416,-0.247,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MDT,0001613103,2022,2022-04-29,USD,107.15,2022-04-28,1328709310,2022-06-20,5039000000,31686000000,,5752000000,2707000000,7346000000,1368000000,52722000000,20372000000,3714000000,142371202566.0,159029202566.0,8459000000,5978000000,28.2539,4.4932,2.7004,18.8,0.041989,0.159,,0.0521,0.3974,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MDT,0001613103,2023,2023-04-28,USD,91.38,2023-04-27,1330405428,2023-06-16,3758000000,31227000000,,5485000000,2697000000,6039000000,1459000000,51665000000,24344000000,1543000000,121572448011.0,144373448011.0,8182000000,4580000000,32.3503,3.8932,2.3531,17.6453,0.037673,0.1203,,-0.0145,-0.2542,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MDT,0001613103,2024,2024-04-26,USD,,,1282269783,2024-06-17,3676000000,32364000000,,5144000000,2647000000,6787000000,1587000000,50420000000,23932000000,1284000000,,,7791000000,5200000000,,,,,,0.1136,,0.0364,-0.0218,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
MDT,0001613103,2025,2025-04-25,USD,,,1281264703,2025-06-17,4662000000,33537000000,,5955000000,2861000000,7044000000,1859000000,48024000000,25642000000,2218000000,,,8816000000,5185000000,,,,,,0.139,,0.0362,0.2682,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
BSX,0000885725,2021,2021-12-31,USD,42.99,2021-12-30,1426724712,2022-01-31,1041000000,11888000000,8177000000,1199000000,1093000000,1870000000,554000000,16622000000,8804000000,2168000000,61334895369.0,67970895369.0,2292000000,1316000000,58.9192,5.1594,3.69,29.6557,0.021456,0.0876,0.6878,0.1992,-13.6951,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BSX,0000885725,2022,2022-12-31,USD,46.27,2022-12-30,1434780104,2023-01-31,698000000,12682000000,8727000000,1649000000,1136000000,1526000000,588000000,17573000000,8915000000,1126000000,66387275412.0,74176275412.0,2785000000,938000000,95.1107,5.2348,3.7778,26.6342,0.014129,0.055,0.6881,0.0668,-0.3295,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BSX,0000885725,2023,2023-12-31,USD,57.81,2023-12-29,1467095627,2024-01-31,1592000000,14240000000,9896000000,2343000000,1196000000,2503000000,711000000,19530000000,8571000000,865000000,84812798197.0,92518798197.0,3539000000,1792000000,53.2744,5.956,4.3427,26.1426,0.021129,0.1118,0.6949,0.1229,1.2808,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
BSX,0000885725,2024,2024-12-31,USD,,,1475778104,2025-01-31,1846000000,16747000000,11490000000,2603000000,1269000000,3435000000,790000000,21770000000,8968000000,606000000,,,3872000000,2645000000,,,,,,0.1102,0.6861,0.1761,0.1595,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
BSX,0000885725,2025,2025-12-31,USD,,,1483885456,2026-01-30,2892000000,20074000000,13854000000,3613000000,1368000000,4534000000,876000000,24233000000,11137000000,1965000000,,,4981000000,3658000000,,,,,,0.1441,0.6901,0.1987,0.5666,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
TMO,0000097745,2021,2021-12-31,USD,665.45,2021-12-30,391191770,2022-02-05,7728000000,39211000000,,10028000000,,9312000000,2523000000,40855000000,32333000000,4491000000,260318567258.0,288160567258.0,,6789000000,33.6851,6.6389,6.3718,,0.02608,0.1971,,0.2171,0.2119,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
TMO,0000097745,2022,2022-12-31,USD,550.69,2022-12-30,385430077,2023-02-04,6960000000,44915000000,,8393000000,,9154000000,2243000000,44032000000,28909000000,8537000000,212252489103.0,232624489103.0,,6911000000,30.496,4.7256,4.8204,,0.03256,0.155,,0.1455,-0.0994,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
TMO,0000097745,2023,2023-12-31,USD,530.79,2023-12-29,381312268,2024-02-03,5955000000,42857000000,,6859000000,,8406000000,1479000000,46724000000,31308000000,8097000000,202396731105.0,225607731105.0,,6927000000,33.9877,4.7226,4.3318,,0.034225,0.139,,-0.0458,-0.1444,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
TMO,0000097745,2024,2024-12-31,USD,,,377261182,2025-02-01,6338000000,42879000000,,7337000000,,8667000000,1400000000,49551000000,29061000000,4040000000,,,,7267000000,,,,,,0.1478,,0.0005,0.0643,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
TMO,0000097745,2025,2025-12-31,USD,,,371484244,2026-01-31,6721000000,44556000000,,7746000000,,7818000000,1525000000,53407000000,35852000000,9852000000,,,,6293000000,,,,,,0.1508,,0.0391,0.0604,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ALGN,0001097149,2021,2021-12-31,USD,,,78795494,2022-02-21,772000000,3952584000,2935355000,976400000,108729000,1172544000,401098000,3622714000,,1100139000,,,1085129000,771446000,,,,,,0.1953,0.7426,0.599,-0.5653,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ALGN,0001097149,2022,2022-12-31,USD,210.9,2022-12-30,76610319,2023-02-20,362000000,3734635000,2633775000,642595000,125793000,568732000,291900000,3601358000,,942355000,16157115511.0,15214760511.0,768388000,276832000,44.6329,4.3263,4.4864,19.8009,0.017134,0.0969,0.7052,-0.0551,-0.5311,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ALGN,0001097149,2023,2023-12-31,USD,274.0,2023-12-29,75104132,2024-02-22,445000000,3862260000,2706863000,643338000,142401000,785776000,177716000,3630489000,,938519000,20578532168.0,19640013168.0,785739000,608060000,46.2439,5.3281,5.6683,24.9956,0.029548,0.1152,0.7008,0.0342,0.2293,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ALGN,0001097149,2024,2024-12-31,USD,206.58,2024-12-30,73597648,2025-02-20,421000000,3999012000,2799159000,607628000,145034000,738231000,115580000,3851985000,,1044963000,15203802124.0,14158839124.0,752662000,622651000,36.1135,3.8019,3.947,18.8117,0.040954,0.1053,0.7,0.0354,-0.0539,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ALGN,0001097149,2025,2025-12-31,USD,158.14,2025-12-30,71282132,2026-02-20,410000000,4034964000,2711013000,545755000,237436000,593223000,102445000,4049147000,,1094908000,11272556354.0,10177648354.0,783191000,490778000,27.494,2.7937,2.7839,12.9951,0.043537,0.1016,0.6719,0.009,-0.0261,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
