symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
WELL,0000766704,2021,2021-12-31,USD,85.9,2021-12-30,447279642,2022-02-04,336138000,3197223000,,,1037566000,1275325000,,18596579000,13910273000,346755000,38421321248.0,51984839248.0,,,114.3022,12.0171,2.066,,,0.1051,,-0.3059,-0.6764,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
WELL,0000766704,2022,2022-12-31,USD,65.55,2022-12-30,490643990,2023-02-16,141214000,4173711000,,,1310368000,1328708000,,21009553000,14714483000,722292000,32161713544.0,46153904544.0,,,227.7516,7.7058,1.5308,,,0.0338,,0.3054,-0.5799,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
WELL,0000766704,2023,2023-12-31,USD,90.17,2023-12-29,568878059,2024-02-09,340094000,4753804000,,,1401101000,1601861000,,26081122000,15735549000,2076083000,51295734580.0,64955200580.0,,,150.8281,10.7905,1.9668,,,0.0715,,0.139,1.4084,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
WELL,0000766704,2024,2024-12-31,USD,,,641308062,2025-02-07,951680000,6027149000,,,1632093000,2256421000,,32316366000,15500257000,3711457000,,,,,,,,,,0.1579,,0.2679,1.7983,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
WELL,0000766704,2025,2025-12-31,USD,,,697752530,2026-02-06,936845000,8452996000,,,2084868000,2881677000,,42129498000,19197302000,5033678000,,,,,,,,,,0.1108,,0.4025,-0.0156,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
PLD,0001045609,2021,2021-12-31,USD,167.97,2021-12-30,740000000,2022-02-07,2939723000,4759440000,,3206996000,1577942000,2996042000,,37742210000,215300000,556000000,124297800000.0,123957100000.0,4784938000,,42.2821,26.1161,3.2933,25.9057,,0.6177,,0.0723,0.9839,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
PLD,0001045609,2022,2022-12-31,USD,112.73,2022-12-30,923429000,2023-02-13,3364856000,5973692000,,3467538000,1812777000,4126430000,,57863093000,23875961000,278000000,104098151170.0,127696112170.0,5280315000,,30.9369,17.4261,1.799,24.1834,,0.5633,,0.2551,0.1446,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
PLD,0001045609,2023,2023-12-31,USD,133.3,2023-12-29,924881000,2024-02-09,3059214000,8023469000,,3707792000,2484891000,5373058000,,57823720000,29000501000,530000000,123286637300.0,151757138300.0,6192683000,,40.3001,15.3658,2.1321,24.5059,,0.3813,,0.3431,-0.0908,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
PLD,0001045609,2024,2024-12-31,USD,,,926860000,2025-02-12,3731635000,8201610000,,4415920000,2580519000,4912209000,,58616770000,30879263000,1318591000,,,6996439000,,,,,,,0.455,,0.0222,0.2198,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
PLD,0001045609,2025,2025-12-31,USD,,,929559000,2026-02-11,3328231000,8790127000,,4357864000,2626028000,5008434000,,53193178000,35037073000,1145647000,,,6983892000,,,,,,,0.3786,,0.0718,-0.1081,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
