symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
NVDA,0001045810,2021,2021-01-31,USD,519.59,2021-01-29,620000000,2021-02-19,4332000000,16675000000,10396000000,4532000000,1098000000,5822000000,,16893000000,6963000000,847000000,322145800000.0,328261800000.0,5630000000,,74.3642,19.3191,19.0698,58.3058,,0.2598,0.6234,0.5273,0.5494,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NVDA,0001045810,2022,2022-01-30,USD,228.4,2022-01-28,2510000000,2022-03-11,9752000000,26914000000,17475000000,10041000000,1174000000,9108000000,976000000,26612000000,10946000000,1990000000,573284000000.0,582240000000.0,11215000000,8132000000,58.7863,21.3006,21.5423,51.9162,0.014185,0.3623,0.6493,0.614,1.2512,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NVDA,0001045810,2023,2023-01-29,USD,203.65,2023-01-27,2470000000,2023-02-17,4368000000,26974000000,15356000000,4224000000,1544000000,5641000000,1833000000,22101000000,10953000000,3389000000,503015500000.0,510579500000.0,5768000000,3808000000,115.1592,18.6482,22.7599,88.5193,0.00757,0.1619,0.5693,0.0022,-0.5521,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NVDA,0001045810,2024,2024-01-28,USD,610.31,2024-01-26,2500000000,2024-02-16,29760000000,60922000000,44301000000,32972000000,1508000000,28090000000,1069000000,42978000000,9709000000,7280000000,1525774950000.0,1528203950000.0,34480000000,27021000000,51.2693,25.0447,35.5013,44.3215,0.01771,0.4885,0.7272,1.2585,5.8132,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NVDA,0001045810,2025,2025-01-26,USD,142.62,2025-01-24,24400000000,2025-02-21,72880000000,130497000000,97858000000,81453000000,1864000000,64089000000,3236000000,79327000000,8463000000,8589000000,3479928000000.0,3479802000000.0,83317000000,60853000000,47.7487,26.6667,43.8681,41.7658,0.017487,0.5585,0.7499,1.142,1.4489,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMD,0000002488,2021,2021-12-25,USD,146.14,2021-12-23,1199303422,2022-01-28,3162000000,16434000000,7929000000,3648000000,,3521000000,301000000,7497000000,313000000,2535000000,175266202091.0,173044202091.0,,3220000000,55.4289,10.6649,23.3782,,0.018372,0.1924,0.4825,0.6833,0.2699,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMD,0000002488,2022,2022-12-31,USD,64.77,2022-12-30,1611388217,2023-02-22,1320000000,23601000000,10603000000,1264000000,,3565000000,450000000,54750000000,2467000000,4835000000,104369614815.0,102001614815.0,,3115000000,79.0679,4.4223,1.9063,,0.029846,0.0559,0.4493,0.4361,-0.5825,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMD,0000002488,2023,2023-12-30,USD,147.41,2023-12-29,1615786841,2024-01-25,854000000,22680000000,10460000000,401000000,,1667000000,546000000,55892000000,2468000000,3933000000,238183138232.0,236718138232.0,,1121000000,278.903,10.5019,4.2615,,0.004706,0.0377,0.4612,-0.039,-0.353,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMD,0000002488,2024,2024-12-28,USD,125.19,2024-12-27,1620477962,2025-01-30,1641000000,25785000000,12725000000,1900000000,,3041000000,636000000,57568000000,1721000000,3787000000,202867636063.0,200801636063.0,,2405000000,123.6244,7.8677,3.524,,0.011855,0.0636,0.4935,0.1369,0.9215,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AMD,0000002488,2025,2025-12-27,USD,214.99,2025-12-26,1630410843,2026-01-30,4335000000,34639000000,17152000000,3694000000,,7709000000,974000000,62999000000,3222000000,5539000000,350522043441.0,348205043441.0,,6735000000,80.8586,10.1193,5.5639,,0.019214,0.1251,0.4952,0.3434,1.6417,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
