symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
FSLR,0001274494,2021,2021-12-31,USD,88.04,2021-12-30,106333764,2022-02-25,468693000,2923377000,729954000,586751000,259900000,237559000,540291000,5959551000,239901000,1455837000,9361624689.0,8145688689.0,846651000,-302732000,19.9739,3.2023,1.5709,9.6211,-0.032338,0.1603,0.2497,0.0782,0.1766,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FSLR,0001274494,2022,2022-12-31,USD,149.79,2022-12-30,106609094,2023-02-24,-44166000,2619319000,69858000,-27236000,269724000,873369000,903605000,5836055000,184349000,1493462000,15968975124.0,14659862124.0,242488000,-30236000,-361.5672,6.0966,2.7363,60.456,-0.001893,-0.0169,0.0267,-0.104,-1.0942,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,negative P/E (loss-making FY)
FSLR,0001274494,2023,2023-12-31,USD,172.28,2023-12-29,106848929,2024-02-23,830777000,3318602000,1300679000,857266000,307994000,602260000,1386775000,6687469000,560306000,1965069000,18407933488.0,17003170488.0,1165260000,-784515000,22.1575,5.5469,2.7526,14.5917,-0.042618,0.2503,0.3919,0.267,-19.8103,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FSLR,0001274494,2024,2024-12-31,USD,,,107062105,2025-02-21,1292044000,4206289000,1857864000,1394420000,423498000,1217999000,1526076000,7977577000,609778000,1638223000,,,1817918000,-308077000,,,,,,0.3072,0.4417,0.2675,0.5552,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
FSLR,0001274494,2025,2025-12-31,USD,,,107310994,2026-02-20,1528229000,5219376000,2120339000,1596864000,529216000,2057105000,869875000,9537993000,498572000,2803514000,,,2126080000,1187230000,,,,,,0.2928,0.4062,0.2409,0.1828,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
NXT,0001852131,2021,2021-03-31,USD,,,,,0,1195617000,231981000,158531000,16809000,94273000,2463000,0,,190589000,,,175340000,91810000,,,,,,0.0,0.194,,,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests; no shares outstanding at FY end
NXT,0001852131,2022,2022-03-31,USD,,,,,0,1457592000,147031000,65907000,11146000,-147113000,5917000,0,,29070000,,,77053000,-153030000,,,,,,0.0,0.1009,0.2191,,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 400: Bad Request; no shares outstanding at FY end
NXT,0001852131,2023,2023-03-31,USD,34.75,2023-03-30,61985696,2023-07-24,1143000,1902137000,286973000,168485000,4626000,107669000,3183000,-3075767000,,130008000,2154002936.0,2023994936.0,173111000,104486000,1884.517,1.1324,-0.7003,11.6919,0.048508,0.0006,0.1509,0.305,,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NXT,0001852131,2024,2024-03-31,USD,56.27,2024-03-28,147284330,2024-03-31,306241000,2499841000,813049000,587118000,4363000,428973000,6160000,992028000,,474054000,8287689249.0,7813635249.0,591481000,422813000,27.0626,3.3153,8.3543,13.2103,0.051017,0.1225,0.3252,0.3142,266.9274,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NXT,0001852131,2025,2025-03-31,USD,,,149275950,2025-03-31,509168000,2959197000,1008825000,639112000,13407000,655794000,33921000,1628130000,,766103000,,,652519000,621873000,,,,,,0.1721,0.3409,0.1838,0.6626,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ENPH,0001463101,2021,2021-12-31,USD,,,133935574,2022-02-07,145449000,1382049000,554422000,215832000,30846000,352028000,52258000,430168000,1037646000,119316000,,,246678000,299770000,,,,,,0.1052,0.4012,0.7846,0.0855,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
ENPH,0001463101,2022,2022-12-31,USD,264.96,2022-12-30,136497418,2023-02-06,397362000,2330853000,974595000,448261000,58775000,744817000,46443000,825573000,1290357000,473244000,36166354508.0,36983467508.0,507036000,698374000,91.0161,15.5164,43.8076,72.9405,0.01931,0.1705,0.4181,0.6865,1.732,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ENPH,0001463101,2023,2023-12-31,USD,132.14,2023-12-29,135759339,2024-02-05,438936000,2290786000,1058388000,445741000,74708000,696780000,110401000,983624000,1293738000,288748000,17939239055.0,18944229055.0,520449000,586379000,40.8698,7.831,18.2379,36.3998,0.032687,0.1916,0.462,-0.0172,0.1046,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ENPH,0001463101,2024,2024-12-31,USD,70.19,2024-12-30,132470505,2025-02-03,102658000,1330383000,629138000,77292000,81389000,513693000,33604000,833016000,1302380000,464116000,9298104746.0,10136368746.0,158681000,480089000,90.5736,6.989,11.162,63.8789,0.051633,0.0772,0.4729,-0.4192,-0.7661,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
ENPH,0001463101,2025,2025-12-31,USD,,,131098819,2026-02-05,172133000,1472985000,687004000,157526000,80645000,136540000,40639000,1087023000,1204377000,474318000,,,238171000,95901000,,,,,,0.1169,0.4664,0.1072,0.6768,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SEDG,0001419612,2021,2021-12-31,USD,,,52818655,2022-02-14,169170000,1963865000,629318000,207139000,39535000,214129000,149251000,1310039000,,530089000,,,246674000,64878000,,,,,,0.0861,0.3204,0.3458,0.2056,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SEDG,0001419612,2022,2022-12-31,USD,283.27,2022-12-30,56146608,2023-02-09,93779000,3110279000,844648000,166120000,49676000,31284000,169341000,2176366000,,783112000,15904649087.0,15121537087.0,215796000,-138057000,169.5971,5.1136,7.3079,70.0733,-0.00868,0.0302,0.2716,0.5838,-0.4457,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
