symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AAPL,0000320193,current,2026-06-27,USD,326.57,2026-09-10,14594180000,2026-07-17,128930000000.0,466823000000.0,227123000000.0,154859000000.0,13100000000.0,146724000000.0,10041000000.0,107520000000,82300000000,39544000000,4766021362600.0,4808777362600.0,167959000000.0,136683000000.0,36.966,10.2095,44.3268,28.6307,0.028679,0.2762,0.4865,0.1424,0.2987,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
MSFT,0000789019,current,2026-06-30,USD,492.44,2026-09-10,7425545491,2026-07-23,133749000000.0,331839000000.0,225465000000.0,155237000000.0,,182935000000.0,115948000000.0,442387000000,40294000000,20935000000,3656635621588.0,3675994621588.0,,66987000000.0,27.3395,11.0193,8.2657,,0.018319,0.4031,0.6794,0.1779,0.3134,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
GOOG,0001652044,current,2026-06-30,USD,330.39,2026-09-10,12230000000,2026-06-30,244205000000.0,445867000000.0,,147628000000.0,,185675000000.0,132402000000.0,640480000000,49085000000,55911000000,4040669700000.0,4033843700000.0,,53273000000.0,16.5462,9.0625,6.3088,,0.013184,0.5477,,0.2005,1.113,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
META,0001326801,current,2026-06-30,USD,644.38,2026-09-10,2565000000,2026-06-30,68098000000.0,228247000000.0,,86927000000.0,22729000000.0,130301000000.0,89325000000.0,261221000000,83664000000,15462000000,1652834700000.0,1721036700000.0,109656000000.0,40976000000.0,24.2714,7.2414,6.3273,15.6949,0.024791,0.2984,,0.2765,-0.0477,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
ADBE,0000796343,current,2026-05-29,USD,248.83,2026-09-10,397500000,2026-06-11,7229000000.0,25198000000.0,22528000000.0,9090000000.0,759000000.0,10481000000.0,201000000.0,11518000000,4802000000,4919000000,98909925000.0,98792925000.0,9849000000.0,10280000000.0,13.6824,3.9253,8.5874,10.0308,0.103933,0.2869,0.894,0.1149,0.0524,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-06-20; reused, not refetched for 2026-09-11 prices-only update",ok,"prices-only refresh from fyn_technology_current_20260620.csv; anchor=2026-09-11, close_date=2026-09-10"
CRM,0001108524,current,2026-07-31,USD,243.0,2026-09-10,823000000,2026-08-20,9662000000.0,43938000000.0,33956000000.0,8735000000.0,1491000000.0,15750000000.0,596000000.0,38378000000,39288000000,8310000000,199989000000.0,230967000000.0,10226000000.0,15154000000.0,20.6985,4.5516,5.211,22.5863,0.075774,0.2199,0.7728,0.1123,0.4501,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
NOW,0001373715,current,2026-06-30,USD,131.17,2026-09-10,1034000000,2026-06-30,1670000000.0,14732000000.0,11015000000.0,1680000000.0,1071000000.0,5308000000.0,728000000.0,12516000000,5435000000,2503000000,135629780000.0,138561780000.0,2751000000.0,4580000000.0,81.2154,9.2065,10.8365,50.3678,0.033768,0.1134,0.7477,0.2219,0.0054,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
ACN,0001467373,current,2026-05-31,USD,177.91,2026-09-10,621337104,2026-05-31,7789752000.0,73100595000.0,,10592234000.0,,13182094000.0,600406000.0,31890566000,5029449000,10165245000,110542084173.0,105406288173.0,,12581688000.0,14.1907,1.5122,3.4663,,0.113818,0.1066,,0.0674,-0.02,Nasdaq historical API close; prices-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-06-20; reused, not refetched for 2026-09-11 prices-only update",ok,"prices-only refresh from fyn_technology_current_20260620.csv; anchor=2026-09-11, close_date=2026-09-10"
IBM,0000051143,current,2026-06-30,USD,234.02,2026-09-10,942134390,2026-06-30,10725000000.0,69096000000.0,40145000000.0,,,14888000000.0,1098000000.0,34452000000,56212000000,7172000000,220478289948.0,269518289948.0,,13790000000.0,20.5574,3.1909,6.3996,,0.062546,0.1552,0.581,0.079,0.8387,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2026-09-11,ok,
BASKET_AVG,,current,2026-09-11,USD,,,,,,,,,,,,,,,,,,,20.6985,7.2414,6.3996,22.5863,0.033768,0.2762,0.71355,0.1424,0.2987,current EOD close,current TTM basket median; refresh_mode=incremental,aggregate,median over current company observations; refresh_mode=incremental
