symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AAPL,0000320193,current,2025-09-27,USD,278.78,2025-12-10,14776353000,2025-10-17,112010000000.0,416161000000.0,195201000000.0,133050000000.0,11698000000.0,111482000000.0,12715000000.0,73733000000,90678000000,35934000000,4119351689340.0,4174095689340.0,144748000000.0,98767000000.0,36.7766,9.8985,55.8685,28.837,0.023976,0.2692,0.4691,0.0643,0.195,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
MSFT,0000789019,current,2025-09-30,USD,478.56,2025-12-10,7432377655,2025-10-23,104912000000.0,293812000000.0,202037000000.0,135937000000.0,,147039000000.0,69022000000.0,363076000000,43208000000,28849000000,3556838650577.0,3571197650577.0,,78017000000.0,33.9031,12.1058,9.7964,,0.021934,0.3571,0.6876,0.1559,0.1591,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
GOOG,0001652044,current,2025-09-30,USD,321.0,2025-12-10,12077000000,2025-09-30,124251000000.0,385477000000.0,,124077000000.0,,151424000000.0,77872000000.0,386867000000,10886000000,23090000000,3876717000000.0,3864513000000.0,,73552000000.0,31.2007,10.0569,10.0208,,0.018973,0.3223,,0.1342,0.318,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
META,0001326801,current,2025-09-30,USD,650.13,2025-12-10,2578000000,2025-09-30,58528000000.0,189457000000.0,,81895000000.0,17665000000.0,107574000000.0,62733000000.0,194066000000,28826000000,10187000000,1676035140000.0,1694674140000.0,99560000000.0,44841000000.0,28.6365,8.8465,8.6364,17.0216,0.026754,0.3089,,0.2127,0.0538,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
ADBE,0000796343,current,2025-08-29,USD,343.13,2025-12-10,418600000,2025-09-19,6957000000.0,23181000000.0,20663000000.0,8402000000.0,852000000.0,9792000000.0,193000000.0,11770000000,6200000000,4982000000,143634218000.0,144852218000.0,9254000000.0,9599000000.0,20.646,6.1962,12.2034,15.6529,0.066829,0.3001,0.8914,0.1067,0.2979,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
CRM,0001108524,current,2025-10-31,USD,264.2,2025-12-10,937000000,2025-11-28,7222000000.0,40317000000.0,31338000000.0,8282000000.0,911000000.0,13502000000.0,607000000.0,60021000000,8438000000,8978000000,247555400000.0,247015400000.0,9193000000.0,12895000000.0,34.278,6.1402,4.1245,26.8699,0.052089,0.1791,0.7773,0.0841,0.2168,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
NOW,0001373715,current,2025-09-30,USD,170.712,2025-12-10,208000000,2025-09-30,1731000000.0,12667000000.0,9887000000.0,1755000000.0,680000000.0,4841000000.0,883000000.0,11301000000,,2725000000,35508096000.0,32783096000.0,2435000000.0,3958000000.0,20.5131,2.8032,3.142,13.4633,0.111468,0.1367,0.7805,0.2105,0.2957,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
ACN,0001467373,current,2025-08-31,USD,272.22,2025-12-10,632435108,2025-08-31,7678433000.0,69672977000.0,,10225664000.0,,11474399000.0,600039000.0,31195446000,5034169000,11478729000,172161485100.0,165716925100.0,,10874360000.0,22.4214,2.471,5.5188,,0.063164,0.1102,,0.0736,0.0569,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
IBM,0000051143,current,2025-09-30,USD,312.67,2025-12-10,934735206,2025-09-30,7907000000.0,65403000000.0,37807000000.0,,,13483000000.0,1012000000.0,27905000000,55174000000,11569000000,292263656860.0,335868656860.0,,12471000000.0,36.9626,4.4687,10.4735,,0.04267,0.1209,0.5781,0.0451,0.236,Nasdaq historical API close,SEC EDGAR XBRL companyconcept TTM filed<=2025-12-10,ok,
BASKET_AVG,,current,2025-12-10,USD,,,,,,,,,,,,,,,,,,,31.2007,6.1962,9.7964,17.0216,0.04267,0.2692,0.73245,0.1067,0.2168,Twelve Data latest close,current TTM basket median filed<=2025-12-10,aggregate,median over current company observations with valid values
