symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AAPL,0000320193,current,2026-06-20,USD,298.01,2026-06-18,14687356000,2026-04-17,122575000000.0,451442000000.0,216071000000.0,147366000000.0,12610000000.0,140222000000.0,11048000000.0,106491000000,82700000000,45572000000,4.37698e+12,4.41411e+12,159976000000.0,129174000000.0,35.7086,9.69555,41.1019,27.5923,0.0295121,0.2715,0.4786,0.1276,0.2598,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-06-20; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
MSFT,0000789019,current,2026-06-20,USD,379.4,2026-06-18,7428434704,2026-04-23,125216000000.0,318273000000.0,217410000000.0,148957000000.0,,170141000000.0,97225000000.0,414367000000,40262000000,32105000000,2.81835e+12,2.82651e+12,,72916000000.0,22.5079,8.85513,6.80157,,0.0258719,0.3934,0.6831,0.1787,0.2958,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-06-20; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
GOOG,0001652044,current,2026-06-20,USD,367.46,2026-06-18,12116000000,2026-03-31,160208000000.0,422499000000.0,,138129000000.0,,174353000000.0,109924000000.0,478746000000,49085000000,38063000000,4.45215e+12,4.46317e+12,,64429000000.0,27.7898,10.5376,9.2996,,0.0144715,0.3792,,0.1745,0.4434,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
META,0001326801,current,2026-06-20,USD,577.22,2026-06-18,2564000000,2026-03-31,70587000000.0,214962000000.0,,88593000000.0,20715000000.0,124000000000.0,75747000000.0,243681000000,58744000000,23426000000,1.47999e+12,1.51531e+12,109308000000.0,48253000000.0,20.9669,6.8849,6.07348,13.8628,0.0326036,0.3284,,0.2618,0.0593,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
ADBE,0000796343,current,2026-06-20,USD,195.16,2026-06-18,404200000,2026-03-20,7208000000.0,24453000000.0,21860000000.0,8961000000.0,775000000.0,10507000000.0,190000000.0,11433000000,5379000000,6332000000,7.88837e+10,7.79307e+10,9736000000.0,10317000000.0,10.9439,3.22593,6.89965,8.00438,0.130788,0.2948,0.894,0.1096,0.0677,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
CRM,0001108524,current,2026-06-20,USD,151.78,2026-06-18,923000000,2026-02-25,7457000000.0,41525000000.0,32255000000.0,8331000000.0,1200000000.0,14996000000.0,594000000.0,59142000000,14439000000,7327000000,1.40093e+11,1.47205e+11,9531000000.0,14402000000.0,18.7868,3.3737,2.36876,15.4449,0.102803,0.1796,0.7768,0.0958,0.2033,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
NOW,0001373715,current,2026-06-20,USD,95.04,2026-06-18,1031000000,2026-03-31,1757000000.0,13960000000.0,10688000000.0,1876000000.0,836000000.0,5437000000.0,804000000.0,11728000000,,2702000000,9.79862e+10,9.52842e+10,2712000000.0,4633000000.0,55.7691,7.01907,8.3549,35.1343,0.0472821,0.1259,0.7656,0.2172,0.1424,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
ACN,0001467373,current,2026-06-20,USD,127.98,2026-06-18,624584101,2026-02-28,7648264000.0,72110322000.0,,10399718000.0,,13080248000.0,583289000.0,31210676000,5030322000,9399183000,7.99343e+10,7.55654e+10,,12496959000.0,10.4513,1.1085,2.56112,,0.15634,0.1061,,0.0727,-0.0046,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
IBM,0000051143,current,2026-06-20,USD,249.1,2026-06-18,939885280,2026-03-31,10754000000.0,68911000000.0,40215000000.0,,,13992000000.0,1079000000.0,32974000000,57706000000,10819000000,2.34125e+11,2.81012e+11,,12913000000.0,21.771,3.3975,7.1003,,0.0551542,0.1561,0.5836,0.0967,0.9649,Nasdaq historical API close; price-only refresh,"SEC EDGAR XBRL companyconcept TTM filed<=2026-05-10; reused, not refetched for price-only 2026-06-20 update",ok,"price-only refresh from fyn_technology_current_20260510.csv; 2026-06-20 was non-trading day, close_date=2026-06-18"
BASKET_AVG,,current,2026-06-20,USD,,,,,,,,,,,,,,,,,,,21.771,6.8849,6.89965,15.4449,0.0472821,0.2715,0.72435,0.1276,0.23155,Nasdaq historical API close; price-only refresh,latest local current snapshots; not SEC-refetched,aggregate,median over price-only refreshed company observations; provisional if company filed new facts after base snapshot
