symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
AAPL,0000320193,2021,2021-09-25,USD,146.92,2021-09-24,16406397000,2021-10-15,94680000000,365817000000,152836000000,108949000000,11284000000,104038000000,11085000000,63090000000,118700000000,35929000000,2410427847240.0,2493198847240.0,120233000000,92953000000,25.4587,6.5892,38.2062,20.7364,0.038563,0.2588,0.4178,0.3326,0.6492,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AAPL,0000320193,2022,2022-09-24,USD,150.43,2022-09-23,15908118000,2022-10-14,99803000000,394328000000,170782000000,119437000000,11104000000,122151000000,10708000000,50672000000,110087000000,24977000000,2393058031659.0,2478168031659.0,130541000000,111443000000,23.9778,6.0687,47.2264,18.9838,0.046569,0.2531,0.4331,0.0779,0.0541,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AAPL,0000320193,2023,2023-09-30,USD,171.21,2023-09-29,15552752000,2023-10-20,96995000000,383285000000,169148000000,114301000000,11519000000,110543000000,10959000000,62146000000,105103000000,30737000000,2662786825448.0,2737152825448.0,125820000000,99584000000,27.4528,6.9473,42.8473,21.7545,0.037398,0.2531,0.4413,-0.028,-0.0281,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AAPL,0000320193,2024,2024-09-28,USD,227.79,2024-09-27,15115823000,2024-10-18,93736000000,391035000000,180683000000,123216000000,11445000000,118254000000,9447000000,56950000000,96662000000,29943000000,3443233170012.0,3509952170012.0,134661000000,108807000000,36.7333,8.8054,60.4606,26.0651,0.0316,0.2397,0.4621,0.0202,-0.0336,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
AAPL,0000320193,2025,2025-09-27,USD,255.46,2025-09-26,14776353000,2025-10-17,112010000000,416161000000,195201000000,133050000000,11698000000,111482000000,12715000000,73733000000,90700000000,35934000000,3774767285144.0,3829533285144.0,144748000000,98767000000,33.7003,9.0704,51.1951,26.4566,0.026165,0.2692,0.4691,0.0643,0.195,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MSFT,0000789019,2021,2021-06-30,USD,271.4,2021-06-29,7514891248,2021-07-26,61271000000,168088000000,115856000000,69916000000,,76740000000,20622000000,141988000000,58146000000,14224000000,2039541409558.0,2083463409558.0,,56118000000,33.2872,12.1338,14.3642,,0.027515,0.3645,0.6893,0.1753,0.3837,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MSFT,0000789019,2022,2022-06-30,USD,260.26,2022-06-29,7457891872,2022-07-25,72738000000,198270000000,135620000000,83383000000,,89035000000,23886000000,166542000000,49781000000,13931000000,1940991013186.0,1976841013186.0,,65149000000,26.6847,9.7896,11.6547,,0.033565,0.3669,0.684,0.1796,0.1872,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MSFT,0000789019,2023,2023-06-30,USD,335.05,2023-06-29,7429763722,2023-07-24,72361000000,211915000000,146052000000,88523000000,,87582000000,28107000000,206223000000,47237000000,34704000000,2489342245899.0,2501875245899.0,,59475000000,34.4017,11.7469,12.0711,,0.023892,0.3415,0.6892,0.0688,-0.0052,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MSFT,0000789019,2024,2024-06-30,USD,446.95,2024-06-28,7433038381,2024-07-25,88136000000,245122000000,171008000000,109433000000,,118548000000,44477000000,268477000000,44937000000,18315000000,3322196578718.0,3348818578718.0,,74071000000,37.694,13.5532,12.3742,,0.022296,0.3596,0.6976,0.1567,0.218,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
MSFT,0000789019,2025,2025-06-30,USD,495.94,2025-06-27,7433166379,2025-07-24,101832000000,281724000000,193893000000,128528000000,,136162000000,64551000000,343479000000,43151000000,30242000000,3686404534001.0,3699313534001.0,,71611000000,36.2008,13.0852,10.7325,,0.019426,0.3615,0.6882,0.1493,0.1554,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
