symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
NFLX,0001065280,2021,2021-12-31,USD,612.09,2021-12-30,443963107,2021-12-31,5116000000,29697844000,,6194509000,208412000,392610000,524585000,15849248000,,6055111000,271745376388.0,265690265388.0,6402921000,-131975000,53.1168,9.1503,17.1456,41.4952,-0.000486,0.1723,,0.1881,0.8527,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NFLX,0001065280,2022,2022-12-31,USD,294.88,2022-12-30,445346776,2022-12-31,4492000000,31615550000,,5632831000,336682000,2026257000,407729000,20777401000,,5170582000,131323861760.0,126153279760.0,5969513000,1618528000,29.2351,4.1538,6.3205,21.1329,0.012325,0.1421,,0.0646,-0.122,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NFLX,0001065280,2023,2023-12-31,USD,486.88,2023-12-29,432759584,2023-12-31,5408000000,33723297000,,6954003000,356947000,7274301000,348552000,20588313000,,7118515000,210701986258.0,203583471258.0,7310950000,6925749000,38.9612,6.248,10.2341,27.8464,0.03287,0.1604,,0.0667,0.2039,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NFLX,0001065280,2024,2024-12-31,USD,900.43,2024-12-30,427757100,2024-12-31,8712000000,39000966000,,10417614000,328914000,7361364000,439538000,24743567000,,7807337000,385165321275.0,377357984275.0,10746528000,6921826000,44.2109,9.8758,15.5663,35.1144,0.017971,0.2234,,0.1565,0.6109,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NFLX,0001065280,2025,2025-12-31,USD,93.78,2025-12-30,4222162150,2025-12-31,10981000000,45183036000,,13326603000,333389000,10149273000,688220000,26615488000,,9033681000,395954366427.0,386920685427.0,13659992000,9461053000,36.0581,8.7633,14.8768,28.3251,0.023894,0.243,,0.1585,0.2604,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DIS,0001744489,2021,2021-10-02,USD,176.01,2021-10-01,1817655948,2021-11-17,1995000000,67418000000,,7766000000,5111000000,5566000000,3578000000,88553000000,54406000000,16003000000,319925613410.0,358328613410.0,12877000000,1988000000,160.3637,4.7454,3.6128,27.827,0.006214,0.0296,,0.031,-1.6966,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DIS,0001744489,2022,2022-10-01,USD,94.33,2022-09-30,1823591988,2022-11-23,3145000000,82722000000,,12121000000,5163000000,6002000000,4943000000,95008000000,48369000000,11661000000,172019432228.0,208727432228.0,17284000000,1059000000,54.6962,2.0795,1.8106,12.0763,0.006156,0.038,,0.227,0.5764,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DIS,0001744489,2023,2023-09-30,USD,81.05,2023-09-29,1830315921,2023-11-15,2354000000,88898000000,,12863000000,5369000000,9866000000,4969000000,99277000000,46431000000,14182000000,148347110888.0,180596110888.0,18232000000,4897000000,63.0192,1.6687,1.4943,9.9054,0.03301,0.0265,,0.0747,-0.2515,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DIS,0001744489,2024,2024-09-28,USD,96.01,2024-09-27,1810939306,2024-11-06,4972000000,91361000000,,15601000000,4990000000,13971000000,5412000000,100696000000,45815000000,6102000000,173868286391.0,213581286391.0,20591000000,8559000000,34.9695,1.9031,1.7267,10.3726,0.049227,0.0544,,0.0277,1.1121,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DIS,0001744489,2025,2025-09-27,USD,113.47,2025-09-26,1785288846,2025-11-05,12404000000,94425000000,,17551000000,5326000000,18101000000,8024000000,109869000000,42026000000,5695000000,202576725356.0,238907725356.0,22877000000,10077000000,16.3316,2.1454,1.8438,10.4431,0.049744,0.1314,,0.0335,1.4948,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
