symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
NEE,0000753308,2021,2021-12-31,USD,92.77,2021-12-30,1962744998,2022-01-31,3573000000,18800000000,,2913000000,3924000000,7553000000,,45424000000,,1316000000,182083853464.0,180767853464.0,6837000000,,50.9611,9.6853,4.0085,26.4396,,0.1901,,0.1059,0.224,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NEE,0000753308,2022,2022-12-31,USD,83.6,2022-12-30,1987495306,2023-01-31,4147000000,23000000000,,4081000000,4503000000,8262000000,,48326000000,,3441000000,166154607582.0,162713607582.0,8584000000,,40.0662,7.2241,3.4382,18.9555,,0.1803,,0.2234,0.1606,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
NEE,0000753308,2023,2023-12-31,USD,,,2052429154,2024-01-31,7310000000,24800000000,,10237000000,5879000000,11301000000,,57768000000,,3420000000,,,16116000000,,,,,,,0.2948,,0.0783,0.7627,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
NEE,0000753308,2024,2024-12-31,USD,,,2057026280,2025-01-31,6946000000,23500000000,,7479000000,5462000000,13260000000,,60460000000,,1402000000,,,12941000000,,,,,,,0.2956,,-0.0524,-0.0498,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
NEE,0000753308,2025,2025-12-31,USD,80.53,2025-12-30,2083521964,2026-01-31,6835000000,25800000000,,8280000000,6580000000,12485000000,,54608000000,,2812000000,167786023761.0,164974023761.0,14860000000,,24.5481,6.5033,3.0726,11.1019,,0.2649,,0.0979,-0.016,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DUK,0001326160,2021,2021-12-31,USD,104.79,2021-12-30,769358344,2022-01-31,3908000000,24486000000,,5500000000,5663000000,8290000000,9715000000,51136000000,60448000000,520000000,80621060868.0,140549060868.0,11163000000,-1425000000,20.6297,3.2925,1.5766,12.5906,-0.017675,0.1596,,0.053,1.8381,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
DUK,0001326160,2022,2022-12-31,USD,,,770080285,2023-01-31,2550000000,28675000000,,6012000000,5843000000,5927000000,11367000000,51853000000,65873000000,603000000,,,11855000000,-5440000000,,,,,,0.0889,,0.1711,-0.3475,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
DUK,0001326160,2023,2023-12-31,USD,,,770811446,2024-01-31,2841000000,28674000000,,7070000000,6084000000,9878000000,12604000000,50187000000,72452000000,357000000,,,13154000000,-2726000000,,,,,,0.0991,,-0.0,0.1141,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
DUK,0001326160,2024,2024-12-31,USD,,,776461008,2025-01-31,4524000000,30050000000,,7926000000,6419000000,12328000000,12280000000,51256000000,76340000000,421000000,,,14345000000,48000000,,,,,,0.1505,,0.048,0.5924,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
DUK,0001326160,2025,2025-12-31,USD,117.68,2025-12-30,777670866,2026-01-31,4968000000,31741000000,,8626000000,7704000000,12330000000,14024000000,51842000000,80108000000,245000000,91516307511.0,171379307511.0,16330000000,-1694000000,18.4212,2.8832,1.7653,10.4948,-0.01851,0.1565,,0.0563,0.0981,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
