anchor_date,actual_trading_date,sector,symbol,provider,kind,open,high,low,close,volume,source,status,comment
2026-02-28,2026-02-27,Energy,XOM,fmp,sector_company,151,153.65,149.25,152.5,30275132,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Energy,XOM,fmp,sector_company,149.25,150.4,147.7,148.13,19617600,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Energy,XOM,fmp,sector_company,159.35,162.44,159.1,159.67,53942143,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Energy,XOM,fmp,sector_company,172.51,176.41,171.05,171.47,29813504,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Energy,XOM,fmp,sector_company,154.04,155.12,151.92,152.51,21065019,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Energy,XOM,fmp,sector_company,147.38,149.37,146.35,147.68,16354430,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Energy,XOM,fmp,sector_company,152.43,155.69,151.34,154.33,22885900,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Energy,XOM,fmp,sector_company,145.85,146.5,143.92,144.57,19550100,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Energy,XOM,fmp,sector_company,161.61,163.68,156.27,156.28,18509731,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Energy,XOM,fmp,sector_company,146.19,146.93,144.71,145.26,27959900,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Energy,CVX,fmp,sector_company,186,187.55,183.77,186.76,12035508,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Energy,CVX,fmp,sector_company,188.63,189.18,185.64,186.29,11999600,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-20,2026-03-20,Energy,CVX,fmp,sector_company,201.4,205.08,201,201.73,35849500,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-03-30,2026-03-30,Energy,CVX,fmp,sector_company,213.26,214.71,210.29,210.71,10409045,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-10,2026-04-10,Energy,CVX,fmp,sector_company,189.71,190.96,186.47,188.55,11151400,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-20,2026-04-20,Energy,CVX,fmp,sector_company,184.5,186.27,182.83,183.25,9661126,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-04-30,2026-04-30,Energy,CVX,fmp,sector_company,190.25,194.13,188.5,193.31,11748636,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-10,2026-05-08,Energy,CVX,fmp,sector_company,182.04,182.73,180.74,181.62,13053000,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Energy,CVX,fmp,sector_company,196.25,198.19,191.27,191.33,14564900,Financial Modeling Prep stable historical-price-eod/full,ok,
2026-05-30,2026-05-29,Energy,CVX,fmp,sector_company,182.72,182.97,180.4,182.46,13894029,Financial Modeling Prep stable historical-price-eod/full,ok,previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Energy,COP,twelve_data,sector_company,112.40000,113.79000,111.059998,113.46000,9009900,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Energy,COP,twelve_data,sector_company,116.12000,116.54000,112.93000,114.15000,13917900,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-03-20,2026-03-20,Energy,COP,twelve_data,sector_company,126.30000,128.13000,126.11000,126.92000,31964000,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-03-30,2026-03-30,Energy,COP,twelve_data,sector_company,135.14999,135.87000,131.91000,132.89000,8913900,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-04-10,2026-04-10,Energy,COP,twelve_data,sector_company,123.30000,124.050003,121.32000,122.55000,10487700,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-04-20,2026-04-20,Energy,COP,twelve_data,sector_company,116.84000,118.22000,116.070000,116.45000,6124700,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-04-30,2026-04-30,Energy,COP,twelve_data,sector_company,124.54000,128.10001,123.77000,125.78000,11948000,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-05-10,2026-05-08,Energy,COP,twelve_data,sector_company,114.64000,115.49000,113.62000,113.87000,8009500,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; previous trading day for anchor 2026-05-10
2026-05-20,2026-05-20,Energy,COP,twelve_data,sector_company,124.27000,126,121.77000,122.36000,5665700,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
2026-05-30,2026-05-29,Energy,COP,twelve_data,sector_company,114.12000,114.55000,112.64000,113.98000,12401400,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; previous trading day for anchor 2026-05-30
2026-02-28,2026-02-27,Energy,EOG,twelve_data,sector_company,122.51000,124.32000,120.48000,124.080002,6899700,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/; previous trading day for anchor 2026-02-28
2026-03-10,2026-03-10,Energy,EOG,twelve_data,sector_company,130.19000,130.86000,126.94000,127.89000,6669600,Twelve Data time_series,ok,fallback after FMP error: HTTP 402: Premium Query Parameter: 'Special Endpoint : This value set for 'symbol' is not available under your current subscription please visit our subscription page to upgrade your plan at https://financialmodelingprep.com/
