sector,symbol,metric,raw_field,baseline_average,baseline_period,baseline_source,source_url,updated_at,comment
Technology,AAPL,forward_pe,,28.42,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/aapl/financials/ratios/,2026-05-31,stored for future estimates source
Technology,AAPL,pe,pe,30.08,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/aapl/financials/ratios/,2026-05-31,
Technology,AAPL,ev_ebitda,ev_ebitda,22.58,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/aapl/financials/ratios/,2026-05-31,
Technology,AAPL,ps,ps,7.50,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/aapl/financials/ratios/,2026-05-31,
Technology,AAPL,p_fcf,fcf_yield,28.81,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/aapl/financials/ratios/,2026-05-31,baseline is P/FCF; raw SEC field is FCF yield and is inverted during calculation
Technology,MSFT,forward_pe,,32.23,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/msft/financials/ratios/,2026-05-31,stored for future estimates source
Technology,MSFT,pe,pe,33.96,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/msft/financials/ratios/,2026-05-31,
Technology,MSFT,ev_ebitda,ev_ebitda,23.01,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/msft/financials/ratios/,2026-05-31,
Technology,MSFT,ps,ps,12.08,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/msft/financials/ratios/,2026-05-31,
Technology,MSFT,p_fcf,fcf_yield,40.95,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/msft/financials/ratios/,2026-05-31,baseline is P/FCF; raw SEC field is FCF yield and is inverted during calculation
Technology,GOOG,forward_pe,,23.53,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/goog/financials/ratios/,2026-05-31,stored for future estimates source
Technology,GOOG,pe,pe,24.44,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/goog/financials/ratios/,2026-05-31,
Technology,GOOG,ev_ebitda,ev_ebitda,18.40,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/goog/financials/ratios/,2026-05-31,
Technology,GOOG,ps,ps,6.65,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/goog/financials/ratios/,2026-05-31,
Technology,GOOG,p_fcf,fcf_yield,31.32,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/goog/financials/ratios/,2026-05-31,baseline is P/FCF; raw SEC field is FCF yield and is inverted during calculation
Technology,META,forward_pe,,21.68,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/meta/financials/ratios/,2026-05-31,stored for future estimates source
Technology,META,pe,pe,22.98,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/meta/financials/ratios/,2026-05-31,
Technology,META,ev_ebitda,ev_ebitda,14.56,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/meta/financials/ratios/,2026-05-31,
Technology,META,ps,ps,6.91,FY2021-FY2025 average,StockAnalysis financial ratios,https://stockanalysis.com/stocks/meta/financials/ratios/,2026-05-31,
