anchor_date,sector,metric,raw_field,calculation_mode,metric_weight,normalized_weight,raw_average,raw_calibration_average,calibration_date,calibration_coefficient,metric_coefficient,company_count,symbols,baseline_source,status,source,method,comment
2026-02-28,Banks,forward_pe,,readme_calibration,0.2,,,,2026-05-30,1.159,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
2026-02-28,Banks,p_tbv,,readme_calibration,0.25,,,,2026-05-30,1.491,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
2026-02-28,Banks,pb,pb,company_baseline,0.35,0.636364,1.74628,1.334,2026-05-30,1.635,1.319648,5,"BAC,C,GS,JPM,MS",StockAnalysis financial ratios,ok,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,
2026-02-28,Banks,pe,pe,company_baseline,0.2,0.363636,13.98486,12.764,2026-05-30,1.265,1.104061,5,"BAC,C,GS,JPM,MS",StockAnalysis financial ratios,ok,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,
2026-03-10,Banks,forward_pe,,readme_calibration,0.2,,,,2026-05-30,1.159,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
2026-03-10,Banks,p_tbv,,readme_calibration,0.25,,,,2026-05-30,1.491,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
2026-03-10,Banks,pb,pb,company_baseline,0.35,0.636364,1.6924,1.334,2026-05-30,1.635,1.283162,5,"BAC,C,GS,JPM,MS",StockAnalysis financial ratios,ok,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,
2026-03-10,Banks,pe,pe,company_baseline,0.2,0.363636,13.5884,12.764,2026-05-30,1.265,1.073602,5,"BAC,C,GS,JPM,MS",StockAnalysis financial ratios,ok,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,
2026-03-20,Banks,forward_pe,,readme_calibration,0.2,,,,2026-05-30,1.159,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
2026-03-20,Banks,p_tbv,,readme_calibration,0.25,,,,2026-05-30,1.491,,0,,,missing_raw_metric,SEC EDGAR point-in-time raw fundamentals plus sector_metric_baselines.csv where available; fallback to sector README 2026-05-30 calibration coefficients,preview: company_baseline uses raw company metric / 5Y company baseline; readme_calibration fallback uses calibration_coefficient * raw_metric(date) / raw_metric(calibration_date); yield inputs are transformed or inverted as needed,metric is not available in SEC-derived raw fundamentals yet
