date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2026-02-28,Banks,1.7214,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-02-27; status=ok; pb: 1.8999 x 63.6% | pe: 1.4089 x 36.4%
2026-02-28,Energy,1.5046,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-02-27; status=ok; ev_ebitda: 0.9901 x 33.3% | fcf_yield: 2.0344 x 33.3% | pe: 2.0976 x 16.7% | pb: 0.8812 x 16.7%
2026-02-28,Mining,1.6366,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-02-27; status=ok; ev_ebitda: 1.3311 x 29.4% | fcf_yield: 2.5720 x 23.5% | pb: 1.5876 x 23.5% | pe: 1.1320 x 23.5%
2026-02-28,Semiconductors,1.5615,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-02-27; status=ok; ps: 1.1472 x 26.7% | pb: 1.3393 x 20.0% | ev_ebitda: 2.3665 x 33.3% | gross_margin: 0.9943 x 20.0%
2026-02-28,Technology,0.8388,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-02-27; status=ok; pe: 0.8443 x 28.6% | ev_ebitda: 0.6567 x 28.6% | ps: 1.0001 x 28.6% | fcf_yield: 0.8693 x 14.3%
2026-03-10,Banks,1.6654,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-10; status=ok; pb: 1.8430 x 63.6% | pe: 1.3546 x 36.4%
2026-03-10,Energy,1.464,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-10; status=ok; ev_ebitda: 0.9671 x 33.3% | fcf_yield: 1.9557 x 33.3% | pe: 2.0302 x 16.7% | pb: 0.9082 x 16.7%
2026-03-10,Mining,1.4902,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-10; status=ok; ev_ebitda: 1.2260 x 29.4% | fcf_yield: 2.3111 x 23.5% | pb: 1.4520 x 23.5% | pe: 1.0376 x 23.5%
2026-03-10,Semiconductors,1.5699,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-10; status=ok; ps: 1.1215 x 26.7% | pb: 1.2468 x 20.0% | ev_ebitda: 2.4678 x 33.3% | gross_margin: 0.9943 x 20.0%
2026-03-10,Technology,0.8551,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-10; status=ok; pe: 0.8440 x 28.6% | ev_ebitda: 0.6705 x 28.6% | ps: 1.0092 x 28.6% | fcf_yield: 0.9385 x 14.3%
2026-03-20,Banks,1.6332,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-20; status=ok; pb: 1.7982 x 63.6% | pe: 1.3444 x 36.4%
2026-03-20,Energy,1.5237,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-20; status=ok; ev_ebitda: 0.9885 x 33.3% | fcf_yield: 2.1062 x 33.3% | pe: 1.9678 x 16.7% | pb: 0.9852 x 16.7%
2026-03-20,Mining,1.2069,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-20; status=ok; ev_ebitda: 1.0353 x 29.4% | fcf_yield: 1.7992 x 23.5% | pb: 1.1699 x 23.5% | pe: 0.8661 x 23.5%
2026-03-20,Semiconductors,1.4822,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-20; status=ok; ps: 1.0048 x 26.7% | pb: 1.1820 x 20.0% | ev_ebitda: 2.3065 x 33.3% | gross_margin: 1.0451 x 20.0%
2026-03-20,Technology,0.7993,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-20; status=ok; pe: 0.8079 x 28.6% | ev_ebitda: 0.6293 x 28.6% | ps: 0.9160 x 28.6% | fcf_yield: 0.8884 x 14.3%
2026-03-30,Banks,1.6201,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-30; status=ok; pb: 1.7851 x 63.6% | pe: 1.3313 x 36.4%
2026-03-30,Energy,1.6351,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-30; status=ok; ev_ebitda: 1.0826 x 33.3% | fcf_yield: 2.2031 x 33.3% | pe: 2.1745 x 16.7% | pb: 1.0644 x 16.7%
2026-03-30,Mining,1.2701,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-30; status=ok; ev_ebitda: 1.0826 x 29.4% | fcf_yield: 1.8766 x 23.5% | pb: 1.2593 x 23.5% | pe: 0.9087 x 23.5%
2026-03-30,Semiconductors,1.4466,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-30; status=ok; ps: 1.0007 x 26.7% | pb: 1.1771 x 20.0% | ev_ebitda: 2.2059 x 33.3% | gross_margin: 1.0451 x 20.0%
2026-03-30,Technology,0.745,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-03-30; status=ok; pe: 0.7629 x 28.6% | ev_ebitda: 0.5945 x 28.6% | ps: 0.8276 x 28.6% | fcf_yield: 0.8448 x 14.3%
2026-04-10,Banks,1.8258,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; pb: 2.0065 x 63.6% | pe: 1.5094 x 36.4%
2026-04-10,Energy,1.5425,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; ev_ebitda: 1.0390 x 33.3% | fcf_yield: 2.0559 x 33.3% | pe: 2.0978 x 16.7% | pb: 0.9671 x 16.7%
2026-04-10,Mining,1.5365,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; ev_ebitda: 1.3259 x 29.4% | fcf_yield: 2.2687 x 23.5% | pb: 1.4764 x 23.5% | pe: 1.1274 x 23.5%
2026-04-10,Semiconductors,1.6417,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; ps: 1.2063 x 26.7% | pb: 1.3559 x 20.0% | ev_ebitda: 2.5194 x 33.3% | gross_margin: 1.0451 x 20.0%
2026-04-10,Technology,0.7207,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-10; status=ok; pe: 0.7714 x 28.6% | ev_ebitda: 0.6293 x 28.6% | ps: 0.7877 x 28.6% | fcf_yield: 0.6680 x 14.3%
2026-04-20,Banks,1.9117,sector_score,,,compute_sector_scores.py over SEC EDGAR fundamentals,actual_trading_date=2026-04-20; status=ok; pb: 2.0815 x 63.6% | pe: 1.6145 x 36.4%
