date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2024-10-10,Agriculture & Chemicals,1.1975,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20241010_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1520 x 29.4% | ev_ebitda: 1.2572 x 29.4% | ps: 1.1001 x 23.5% | fcf_yield: 1.3037 x 17.6%
2024-12-10,Agriculture & Chemicals,1.1431,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20241210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0660 x 29.4% | ev_ebitda: 1.1880 x 29.4% | ps: 1.0675 x 23.5% | fcf_yield: 1.2973 x 17.6%
2025-02-10,Agriculture & Chemicals,1.0801,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20250210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0826 x 29.4% | ev_ebitda: 0.9766 x 29.4% | ps: 1.0479 x 23.5% | fcf_yield: 1.2915 x 17.6%
2025-04-10,Agriculture & Chemicals,0.9574,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20250410_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 0.9813 x 29.4% | ev_ebitda: 0.6893 x 29.4% | ps: 0.9733 x 23.5% | fcf_yield: 1.3432 x 17.6%
2025-06-10,Agriculture & Chemicals,1.2192,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20250610_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1107 x 29.4% | ev_ebitda: 1.2278 x 29.4% | ps: 1.1013 x 23.5% | fcf_yield: 1.5431 x 17.6%
2025-08-10,Agriculture & Chemicals,1.2293,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20250810_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1189 x 29.4% | ev_ebitda: 1.2128 x 29.4% | ps: 1.0930 x 23.5% | fcf_yield: 1.6228 x 17.6%
2025-10-10,Agriculture & Chemicals,1.1818,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20251010_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0872 x 29.4% | ev_ebitda: 1.1600 x 29.4% | ps: 1.0446 x 23.5% | fcf_yield: 1.5589 x 17.6%
2025-12-10,Agriculture & Chemicals,1.174,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20251210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 0.9294 x 29.4% | ev_ebitda: 1.5029 x 29.4% | ps: 0.9835 x 23.5% | fcf_yield: 1.2875 x 17.6%
2026-02-10,Agriculture & Chemicals,1.3099,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0484 x 29.4% | ev_ebitda: 1.6013 x 29.4% | ps: 1.1506 x 23.5% | fcf_yield: 1.4722 x 17.6%
2026-04-10,Agriculture & Chemicals,1.7907,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260410_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1219 x 29.4% | ev_ebitda: 3.3447 x 29.4% | ps: 1.0426 x 23.5% | fcf_yield: 1.3126 x 17.6%
2026-06-20,Agriculture & Chemicals,1.0949,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260620_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0583 x 29.4% | ev_ebitda: 1.1462 x 29.4% | ps: 0.9906 x 23.5% | fcf_yield: 1.2093 x 17.6%
2026-08-10,Agriculture & Chemicals,1.7044,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260810_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1140 x 29.4% | ev_ebitda: 2.8977 x 29.4% | ps: 1.0447 x 23.5% | fcf_yield: 1.5794 x 17.6%
2026-09-10,Agriculture & Chemicals,1.6063,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260910_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0337 x 29.4% | ev_ebitda: 2.7527 x 29.4% | ps: 0.9626 x 23.5% | fcf_yield: 1.5083 x 17.6%
