date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2025-09-10,Banks,1.6395,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_banks_current_20250910_summary.csv; fyn_banks_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=5 (expected 5); pb: 1.7475 x 63.6% | pe: 1.4507 x 36.4%"
2025-09-10,Energy,1.1737,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_energy_current_20250910_summary.csv; fyn_energy_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=5 (expected 5); ev_ebitda: 0.7506 x 33.3% | fcf_yield: 1.7922 x 33.3% | pe: 1.2212 x 16.7% | pb: 0.7354 x 16.7%"
2025-09-10,Telecom & Streaming,0.7856,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_telecom_current_20250910_summary.csv; fyn_telecom_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=7 (expected 7); ev_ebitda: 0.8708 x 42.9% | fcf_yield: 0.5465 x 35.7% | ps: 1.0136 x 21.4%"
2025-09-10,Delivery & Logistics,1.0889,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_delivery_logistics_current_20250910_summary.csv; fyn_delivery_logistics_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=5 (expected 5); ev_ebitda: 1.0100 x 40.0% | pe: 1.0237 x 33.3% | ps: 1.2886 x 26.7%"
2025-09-10,Insurance,0.8295,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_insurance_current_20250910_summary.csv; fyn_insurance_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=6 (expected 6); pb: 0.7968 x 54.5% | pe: 0.8687 x 45.5%"
2025-09-10,Utilities,0.8986,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_utilities_current_20250910_summary.csv; fyn_utilities_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=5 (expected 5); pe: 1.0351 x 42.9% | ev_ebitda: 0.7557 x 35.7% | pb: 0.8638 x 21.4%"
2025-09-10,Mining,1.0983,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_mining_current_20250910_summary.csv; fyn_mining_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=3 (expected 3); ev_ebitda: 1.1374 x 29.4% | fcf_yield: 1.1802 x 23.5% | pb: 1.3455 x 23.5% | pe: 0.7203 x 23.5%"
2025-09-10,Drugs,0.8855,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_drugs_current_20250910_summary.csv; fyn_drugs_norm_summary.csv; price source: Nasdaq historical API close,"status=provisional; actual_trading_date=2025-09-10; pe.status=ok, n_companies=5 (expected 5); missing weighted metrics ev_ebitda; remaining weights renormalised; pe: 0.8058 x 50.0% | ps: 0.9894 x 16.7% | fcf_yield: 0.9530 x 33.3%"
2025-09-10,Commodities,0.8961,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_commodities_current_20250910_summary.csv; fyn_commodities_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=3 (expected 3); ev_ebitda: 0.8302 x 29.4% | fcf_yield: 0.8543 x 23.5% | pb: 1.3337 x 23.5% | pe: 0.5826 x 23.5%"
2025-09-10,Semiconductors,0.9814,sector_score,,,build_fy_norm.py --current --as-of over SEC EDGAR; fyn_semis_current_20250910_summary.csv; fyn_semis_norm_summary.csv; price source: Nasdaq historical API close,"status=ok; actual_trading_date=2025-09-10; pe.status=ok, n_companies=6 (expected 6); ps: 0.9820 x 26.7% | pb: 0.9342 x 20.0% | ev_ebitda: 0.9679 x 33.3% | gross_margin: 1.0505 x 20.0%"
