date,sector,coefficient,metric,metric_coefficient,metric_weight,source,comment
2025-10-10,Agriculture & Chemicals,1.1818,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20251010_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0872 x 29.4% | ev_ebitda: 1.1600 x 29.4% | ps: 1.0446 x 23.5% | fcf_yield: 1.5589 x 17.6%
2025-11-10,Agriculture & Chemicals,1.1345,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20251110_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0446 x 29.4% | ev_ebitda: 1.1663 x 29.4% | ps: 1.0342 x 23.5% | fcf_yield: 1.3649 x 17.6%
2025-12-10,Agriculture & Chemicals,1.174,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20251210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 0.9294 x 29.4% | ev_ebitda: 1.5029 x 29.4% | ps: 0.9835 x 23.5% | fcf_yield: 1.2875 x 17.6%
2026-01-10,Agriculture & Chemicals,1.2604,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260110_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0011 x 29.4% | ev_ebitda: 1.5679 x 29.4% | ps: 1.0779 x 23.5% | fcf_yield: 1.4231 x 17.6%
2026-02-10,Agriculture & Chemicals,1.3099,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260210_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0484 x 29.4% | ev_ebitda: 1.6013 x 29.4% | ps: 1.1506 x 23.5% | fcf_yield: 1.4722 x 17.6%
2026-03-10,Agriculture & Chemicals,1.7182,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260310_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1125 x 29.4% | ev_ebitda: 3.0976 x 29.4% | ps: 1.0528 x 23.5% | fcf_yield: 1.3162 x 17.6%
2026-04-10,Agriculture & Chemicals,1.7907,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260410_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1219 x 29.4% | ev_ebitda: 3.3447 x 29.4% | ps: 1.0426 x 23.5% | fcf_yield: 1.3126 x 17.6%
2026-05-10,Agriculture & Chemicals,1.0701,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260510_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0191 x 29.4% | ev_ebitda: 1.1528 x 29.4% | ps: 0.9536 x 23.5% | fcf_yield: 1.1729 x 17.6%
2026-06-20,Agriculture & Chemicals,1.0949,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260620_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0583 x 29.4% | ev_ebitda: 1.1462 x 29.4% | ps: 0.9906 x 23.5% | fcf_yield: 1.2093 x 17.6%
2026-07-10,Agriculture & Chemicals,1.1357,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260710_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0948 x 29.4% | ev_ebitda: 1.2027 x 29.4% | ps: 1.0188 x 23.5% | fcf_yield: 1.2483 x 17.6%
2026-08-10,Agriculture & Chemicals,1.7044,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260810_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.1140 x 29.4% | ev_ebitda: 2.8977 x 29.4% | ps: 1.0447 x 23.5% | fcf_yield: 1.5794 x 17.6%
2026-09-10,Agriculture & Chemicals,1.6063,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_agriculture_chemicals_current_20260910_summary.csv; norm fyn_agriculture_chemicals_norm_summary.csv,status=ok; pe: 1.0337 x 29.4% | ev_ebitda: 2.7527 x 29.4% | ps: 0.9626 x 23.5% | fcf_yield: 1.5083 x 17.6%
2025-10-10,Banks,1.6326,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20251010_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.7356 x 63.6% | pe: 1.4524 x 36.4%
2025-11-10,Banks,1.6561,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20251110_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.7891 x 63.6% | pe: 1.4234 x 36.4%
2025-12-10,Banks,1.7949,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20251210_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.9956 x 63.6% | pe: 1.4437 x 36.4%
2026-01-10,Banks,1.8983,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260110_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.1072 x 63.6% | pe: 1.5325 x 36.4%
2026-02-10,Banks,1.8941,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260210_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.1298 x 63.6% | pe: 1.4817 x 36.4%
2026-03-10,Banks,1.6654,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260310_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 1.8430 x 63.6% | pe: 1.3546 x 36.4%
2026-04-10,Banks,1.8258,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260410_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.0065 x 63.6% | pe: 1.5094 x 36.4%
2026-05-10,Banks,1.8689,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260510_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.0698 x 63.6% | pe: 1.5174 x 36.4%
2026-06-20,Banks,2.0492,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260620_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2282 x 63.6% | pe: 1.7360 x 36.4%
2026-07-10,Banks,2.0883,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260710_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.3053 x 63.6% | pe: 1.7084 x 36.4%
2026-08-10,Banks,1.9845,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260810_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2844 x 63.6% | pe: 1.4597 x 36.4%
2026-09-10,Banks,1.9546,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_banks_current_20260910_summary.csv; norm fyn_banks_norm_summary.csv,status=ok; pb: 2.2518 x 63.6% | pe: 1.4344 x 36.4%
2025-10-10,Commodities,0.9618,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20251010_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 0.9174 x 29.4% | fcf_yield: 1.0467 x 23.5% | pb: 1.3153 x 23.5% | pe: 0.5789 x 23.5%
2025-11-10,Commodities,1.1173,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20251110_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.3498 x 29.4% | fcf_yield: 1.2350 x 23.5% | pb: 1.2960 x 23.5% | pe: 0.5303 x 23.5%
2025-12-10,Commodities,1.2008,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20251210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.3924 x 29.4% | fcf_yield: 1.3315 x 23.5% | pb: 1.4298 x 23.5% | pe: 0.6016 x 23.5%
2026-01-10,Commodities,1.4311,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260110_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.6441 x 29.4% | fcf_yield: 1.5963 x 23.5% | pb: 1.6985 x 23.5% | pe: 0.7321 x 23.5%
2026-02-10,Commodities,1.632,sector_score,,,build_sector_scores_timeframe.py over SEC EDGAR point-in-time fyn_commodities_current_20260210_summary.csv; norm fyn_commodities_norm_summary.csv,status=ok; ev_ebitda: 1.9133 x 29.4% | fcf_yield: 1.8277 x 23.5% | pb: 1.8977 x 23.5% | pe: 0.8192 x 23.5%
